Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Avg No. of Regenerations until valid board generation per game setting,Total No. of Times Matches Occurred during init,Avg No. of Times Matches Occurred during init per game setting,Total No. of Deadlocks during init,Avg No. of Deadlocks during init per game setting,Total No. of Times Game Started,Avg No. of Times Game Started per game setting,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per game setting,Average No. of Moves until Shuffle occurs per game setting,Total score,Avg score per Game Setting,Total Valid Moves Made,Avg No. of Valid Moves Made,Avg Score per Move,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per configuration,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per game setting,Probability that the game will not start,Total Moves Available per Game Setting,Experiment Repeat
"(7, 7)",27,71,7.1,2,0.2,69,6.9,10,1,2701,270.1,0.370233247,3062,306.2,1000,100,3.062,10674,10.674,116,11.6,0.87654321,100,10
"(7, 7)",29,43,4.3,0,0,43,4.3,10,1,3244,324.4,0.308261406,3062,306.2,1000,100,3.062,10473,10.473,117,11.7,0.811320755,100,10
"(7, 7)",31,55,5.5,1,0.1,54,5.4,10,1,3849,384.9,0.259807742,3051,305.1,1000,100,3.051,9898,9.898,107,10.7,0.846153846,100,10
"(7, 7)",33,89,8.9,1,0.1,88,8.8,10,1,7077,707.7,0.100466299,2165,216.5,711,71.1,3.045007032,7726,10.86638537,90,9,0.898989899,100,10
"(7, 7)",35,172,17.2,4,0.4,168,16.8,10,1,7350,735,0.109659864,2438,243.8,806,80.6,3.024813896,8760,10.86848635,85,8.5,0.945054945,100,10
"(7, 7)",37,235,23.5,3,0.3,232,23.2,10,1,11456,1145.6,0.037185754,1288,128.8,426,42.6,3.023474178,3824,8.976525822,40,4,0.959183673,100,10
"(7, 7)",39,168,16.8,1,0.1,167,16.7,10,1,10470,1047,0.003056351,96,9.6,32,3.2,3,264,8.25,3,0.3,0.943820225,100,10
"(7, 7)",41,375,37.5,2,0.2,373,37.3,10,1,10349,1034.9,0.001642671,51,5.1,17,1.7,3,168,9.882352941,1,0.1,0.974025974,100,10
"(7, 7)",43,1126,112.6,3,0.3,1123,112.3,10,1,10182,1018.2,0.001767826,54,5.4,18,1.8,3,18,1,0,0,0.991197183,100,10
"(7, 7)",45,1890,189,0,0,1890,189,10,1,10000,1000,0.001,30,3,10,1,3,10,1,0,0,0.994736842,100,10
"(7, 7)",47,7141,714.1,0,0,7141,714.1,5,0.5,5000,500,0.001,15,1.5,5,0.5,3,5,1,0,0,0.999300308,100,10
"(7, 7)",49,10000,1000,0,0,10000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,10
"(10, 10)",3,10000,1000,10000,1000,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,1,100,10
"(10, 10)",5,2329,232.9,2320,232,9,0.9,9,0.9,0,0,inf,6757,675.7,900,90,7.507777778,22875,25.41666667,875,87.5,0.996150556,100,10
"(10, 10)",10,43,4.3,38,3.8,5,0.5,10,1,47,4.7,21.27659574,3625,362.5,1000,100,3.625,10318,10.318,187,18.7,0.811320755,100,10
"(10, 10)",15,6,0.6,2,0.2,4,0.4,10,1,182,18.2,5.494505495,3332,333.2,1000,100,3.332,16100,16.1,146,14.6,0.375,100,10
"(10, 10)",20,8,0.8,2,0.2,6,0.6,10,1,399,39.9,2.506265664,3220,322,1000,100,3.22,18297,18.297,127,12.7,0.444444444,100,10
"(10, 10)",25,9,0.9,0,0,9,0.9,10,1,628,62.8,1.592356688,3112,311.2,1000,100,3.112,19536,19.536,116,11.6,0.473684211,100,10
