Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Average No. of Regenerations until valid board generation,Total No. of Shuffles/Deadlocks Occurred,Average No. of Moves until Shuffle occurs,Average No. of Deadlocks Occurred,Total score per Game Setting,Total Valid Moves Made,Average Score per Move,Total No. of Possible Moves,Average No. of Possible Moves per Configuration,Total No. of Avalanche Matches,Average No. of Avalanche matches occurred,Total Moves Available per Game Setting,Experiment Repeat
"(10, 10)",65,25,2,23,2.5,7164,0.139586823,716.4,3014,1000,3.014,24138,24.138,125,12.5,100,10
"(10, 10)",70,45,4,41,4.5,10572,0.094589482,1057.2,3000,1000,3,21672,21.672,106,10.6,100,10
"(10, 10)",75,27,4,23,2.7,14564,0.068662455,1456.4,3004,1000,3.004,22549,22.549,110,11,100,10
"(10, 10)",80,97,3,94,9.7,17781,0.056239807,1778.1,2433,809,3.007416564,17693,17.693,78,7.8,100,10
"(10, 10)",85,78,3,75,7.8,27059,0.036956281,2705.9,2187,728,3.004120879,16049,16.049,81,8.1,100,10
"(10, 10)",90,66,1,65,6.6,30604,0.032675467,3060.4,1707,568,3.00528169,12955,12.955,70,7,100,10
"(10, 10)",95,81,0,81,8.1,24701,0.040484191,2470.1,1341,446,3.006726457,8176,8.176,39,3.9,100,10
"(10, 10)",100,87,1,86,8.7,26811,0.037298124,2681.1,1090,363,3.002754821,6388,6.388,29,2.9,100,10
"(15, 15)",5,10000,10010,0,1000,0,inf,0,0,0,0,0,0,0,0,100,10
"(15, 15)",15,39,39,0,3.9,72,13.88888889,7.2,3483,1000,3.483,28258,28.258,149,14.9,100,10
"(15, 15)",25,5,5,0,0.5,234,4.273504274,23.4,3192,1000,3.192,38232,38.232,119,11.9,100,10
"(15, 15)",35,6,4,2,0.6,493,2.028397566,49.3,3097,1000,3.097,45611,45.611,116,11.6,100,10
"(15, 15)",45,5,2,3,0.5,803,1.245330012,80.3,3086,1000,3.086,48150,48.15,123,12.3,100,10
"(15, 15)",55,7,2,5,0.7,1188,0.841750842,118.8,3048,1000,3.048,48700,48.7,114,11.4,100,10
"(15, 15)",65,16,4,12,1.6,1734,0.576701269,173.4,3039,1000,3.039,56884,56.884,131,13.1,100,10
"(15, 15)",75,18,1,17,1.8,2609,0.383288616,260.9,3019,1000,3.019,51837,51.837,114,11.4,100,10
"(15, 15)",85,21,0,21,2.1,3402,0.293944738,340.2,3009,1000,3.009,51747,51.747,111,11.1,100,10
"(15, 15)",95,24,1,23,2.4,4175,0.239520958,417.5,3006,1000,3.006,50140,50.14,110,11,100,10
"(15, 15)",105,36,1,35,3.6,5574,0.179404377,557.4,3013,1000,3.013,53399,53.399,110,11,100,10
"(15, 15)",115,32,1,31,3.2,7285,0.13726836,728.5,3004,1000,3.004,51733,51.733,112,11.2,100,10
"(15, 15)",125,40,0,40,4,8868,0.112764998,886.8,3011,1000,3.011,53383,53.383,116,11.6,100,10
"(15, 15)",135,60,1,59,6,10448,0.095712098,1044.8,3002,1000,3.002,53765,53.765,113,11.3,100,10
"(15, 15)",145,44,1,43,4.4,13490,0.074128984,1349,3004,1000,3.004,49191,49.191,104,10.4,100,10
"(15, 15)",155,130,1,129,13,15245,0.065595277,1524.5,3000,1000,3,45926,45.926,96,9.6,100,10
"(15, 15)",165,119,1,118,11.9,22922,0.043626211,2292.2,3003,1000,3.003,47955,47.955,103,10.3,100,10
"(15, 15)",175,61,1,60,6.1,24222,0.041284782,2422.2,3006,1000,3.006,53713,53.713,118,11.8,100,10
"(15, 15)",185,98,1,97,9.8,31211,0.032039986,3121.1,3001,1000,3.001,51241,51.241,110,11,100,10
"(15, 15)",195,176,3,173,17.6,50766,0.019698223,5076.6,2991,995,3.006030151,49598,49.598,106,10.6,100,10
"(15, 15)",205,147,2,145,14.7,49483,0.018046602,4948.3,2679,893,3,41659,41.659,91,9.1,100,10
"(15, 15)",215,110,0,110,11,77952,0.010301211,7795.2,2409,803,3,42383,42.383,92,9.2,100,10
"(15, 15)",225,138,2,136,13.8,70621,0.010166948,7062.1,2154,718,3,37356,37.356,80,8,100,10
"(20, 20)",5,10000,10010,0,1000,0,inf,0,0,0,0,0,0,0,0,100,10
"(20, 20)",15,198,198,0,19.8,31,32.25806452,3.1,3628,1000,3.628,32211,32.211,151,15.1,100,10
"(20, 20)",25,26,26,0,2.6,113,8.849557522,11.3,3346,1000,3.346,59316,59.316,119,11.9,100,10
