Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Times Game Started,Total No. of Shuffles/Deadlocks Occurred,Average No. of Moves until Shuffle occurs,Total score per Game Setting,Total Valid Moves Made,Total No. of Possible/Playable Moves,Total No. of Avalanche Matches,Total Moves Available per Game Setting,Experiment Repeat
"(15, 15)",20,11,7,4,10,124,8.064516129032258,3290,1000,31698,113,100,10
"(15, 15)",30,8,5,3,10,338,2.9585798816568047,3143,1000,45630,115,100,10
"(15, 15)",40,5,1,4,10,617,1.6207455429497568,3092,1000,44616,110,100,10
"(15, 15)",50,4,0,4,10,1044,0.9578544061302682,3067,1000,51716,119,100,10
"(15, 15)",60,10,2,8,10,1505,0.6644518272425249,3033,1000,47898,108,100,10
"(15, 15)",70,18,1,17,10,2074,0.4821600771456123,3031,1000,53130,120,100,10
"(15, 15)",80,5,0,5,10,3127,0.3197953309881676,3021,1000,50970,114,100,10
"(15, 15)",90,87,2,85,10,3894,0.25680534155110424,3012,1000,53024,116,100,10
"(15, 15)",100,76,2,74,10,5461,0.18311664530305805,3025,1000,59578,139,100,10
"(15, 15)",110,53,1,52,10,7228,0.13835085777531822,3001,1000,49630,103,100,10
"(15, 15)",120,127,1,126,10,9880,0.10121457489878542,3005,1000,48833,108,100,10
"(15, 15)",130,150,1,149,10,13757,0.07269026677327906,3001,1000,45521,103,100,10
"(15, 15)",140,301,3,298,10,16556,0.060401063058709833,3009,1000,52916,119,100,10
"(15, 15)",150,509,3,506,10,23273,0.042968246465861726,3004,1000,53311,115,100,10
"(15, 15)",160,608,5,603,10,37718,0.026512540431624158,3003,1000,43411,94,100,10
"(15, 15)",170,418,3,415,10,55927,0.016199688880147334,2722,906,40442,88,100,10
"(15, 15)",180,882,0,882,10,44215,0.007282596403935316,966,322,15545,36,100,10
"(15, 15)",190,2699,1,2698,10,19323,0.0031051079024996117,180,60,2529,5,100,10
"(15, 15)",200,2298,2,2296,10,12986,0.0016171261358385953,63,21,1254,3,100,10
"(15, 15)",210,8154,4,8150,4,4183,0.0011953143676786994,15,5,5,0,100,10
"(15, 15)",220,10000,0,10000,0,0,inf,0,0,0,0,100,10
"(15, 15)",225,10000,0,10000,0,0,inf,0,0,0,0,100,10
"(20, 20)",3,10000,10000,0,0,0,inf,0,0,0,0,100,10
"(20, 20)",5,10000,10000,0,0,0,inf,0,0,0,0,100,10
"(20, 20)",10,4405,4397,8,8,0,inf,3052,800,16855,179,100,10
"(20, 20)",20,31,21,10,10,67,14.925373134328359,3421,1000,46176,131,100,10
"(20, 20)",30,3,1,2,10,159,6.289308176100629,3226,1000,73426,112,100,10
"(20, 20)",40,1,0,1,10,289,3.4602076124567476,3105,1000,74730,98,100,10
"(20, 20)",50,2,0,2,10,459,2.178649237472767,3105,1000,86867,126,100,10
"(20, 20)",60,4,0,4,10,697,1.4347202295552368,3033,1000,74600,94,100,10
"(20, 20)",70,4,0,4,10,930,1.075268817204301,3059,1000,88665,119,100,10
"(20, 20)",80,8,1,7,10,1227,0.8149959250203749,3021,1000,77316,97,100,10
"(20, 20)",90,11,0,11,10,1723,0.5803830528148578,3029,1000,93745,119,100,10
"(20, 20)",100,20,1,19,10,2116,0.4725897920604915,3032,1000,86162,111,100,10
"(20, 20)",110,19,0,19,10,2862,0.3494060097833683,3023,1000,86103,110,100,10
"(20, 20)",120,30,1,29,10,3419,0.2924831822170225,3011,1000,89866,111,100,10
"(20, 20)",130,56,2,54,10,4082,0.2449779519843214,3000,1000,80778,96,100,10
"(20, 20)",140,42,1,41,10,5240,0.19083969465648856,3011,1000,95801,118,100,10
"(20, 20)",150,21,1,20,10,5979,0.16725204883759826,3006,1000,95760,119,100,10
"(20, 20)",160,56,0,56,10,6702,0.14920919128618323,3003,1000,85252,103,100,10
"(20, 20)",170,118,0,118,10,8581,0.11653653420347279,3007,1000,95759,120,100,10
"(20, 20)",180,70,0,70,10,10030,0.09970089730807577,3003,1000,76186,94,100,10
"(20, 20)",190,151,3,148,10,12030,0.0831255195344971,3003,1000,85203,109,100,10
"(20, 20)",200,106,0,106,10,14303,0.0699154023631406,3003,1000,82949,99,100,10
"(20, 20)",210,193,2,191,10,16815,0.059470710674992565,3004,1000,82205,104,100,10
"(20, 20)",220,161,1,160,10,20705,0.04829751267809708,3001,1000,86704,102,100,10
"(20, 20)",230,118,0,118,10,22528,0.044389204545454544,3009,1000,85970,105,100,10
