Grid Size,Max Colors,Actual colors,Total User Moves count,Total deterministic score,Total Avalanche count,Total non-deterministic score,Total score,Selected Move,Move Score,Avalanche per selected move,Total Moves Available per Game Setting,Experiment Repeat
"(7, 7)",5,5,1,3,0,0,3,"[(0, 3), (1, 3)]",3,0,50,100
"(7, 7)",5,5,2,6,1,3,9,"[(4, 4), (5, 4)]",6,1,50,100
"(7, 7)",5,5,3,9,1,3,12,"[(0, 4), (0, 5)]",3,0,50,100
"(7, 7)",5,5,4,12,1,3,15,"[(4, 2), (4, 3)]",3,0,50,100
"(7, 7)",5,5,5,15,1,3,18,"[(4, 5), (4, 6)]",3,0,50,100
"(7, 7)",5,5,6,18,1,3,21,"[(0, 3), (1, 3)]",3,0,50,100
"(7, 7)",5,5,7,21,2,6,27,"[(4, 4), (5, 4)]",6,1,50,100
"(7, 7)",5,5,8,24,6,21,45,"[(1, 5), (2, 5)]",18,4,50,100
"(7, 7)",5,5,9,27,6,21,48,"[(2, 2), (2, 3)]",3,0,50,100
"(7, 7)",5,5,10,33,6,21,54,"[(1, 3), (2, 3)]",6,0,50,100
"(7, 7)",5,5,11,36,6,21,57,"[(0, 4), (1, 4)]",3,0,50,100
"(7, 7)",5,5,12,39,6,21,60,"[(2, 2), (3, 2)]",3,0,50,100
"(7, 7)",5,5,13,42,6,21,63,"[(3, 2), (4, 2)]",3,0,50,100
"(7, 7)",5,5,14,45,7,24,69,"[(2, 6), (3, 6)]",6,1,50,100
"(7, 7)",5,5,15,48,7,24,72,"[(0, 1), (0, 2)]",3,0,50,100
"(7, 7)",5,5,16,51,8,27,78,"[(3, 2), (3, 3)]",6,1,50,100
"(7, 7)",5,5,17,54,9,33,87,"[(3, 3), (3, 4)]",9,1,50,100
"(7, 7)",5,5,18,57,9,33,90,"[(3, 6), (4, 6)]",3,0,50,100
"(7, 7)",5,5,19,61,9,33,94,"[(2, 3), (2, 4)]",4,0,50,100
"(7, 7)",5,5,20,64,9,33,97,"[(0, 1), (0, 2)]",3,0,50,100
"(7, 7)",5,5,21,67,9,33,100,"[(0, 4), (1, 4)]",3,0,50,100
"(7, 7)",5,5,22,70,9,33,103,"[(1, 4), (2, 4)]",3,0,50,100
"(7, 7)",5,5,23,73,10,37,110,"[(2, 0), (2, 1)]",7,1,50,100
"(7, 7)",5,5,24,76,11,40,116,"[(5, 5), (6, 5)]",6,1,50,100
"(7, 7)",5,5,25,79,13,46,125,"[(1, 3), (2, 3)]",9,2,50,100
"(7, 7)",5,5,26,82,13,46,128,"[(0, 4), (0, 5)]",3,0,50,100
"(7, 7)",5,5,27,86,14,49,135,"[(4, 4), (5, 4)]",7,1,50,100
"(7, 7)",5,5,28,89,15,52,141,"[(3, 3), (3, 4)]",6,1,50,100
"(7, 7)",5,5,29,92,16,61,153,"[(6, 4), (6, 5)]",12,1,50,100
"(7, 7)",5,5,30,95,16,61,156,"[(1, 3), (2, 3)]",3,0,50,100
"(7, 7)",5,5,31,98,16,61,159,"[(3, 0), (4, 0)]",3,0,50,100
"(7, 7)",5,5,32,101,16,61,162,"[(0, 3), (1, 3)]",3,0,50,100
"(7, 7)",5,5,33,104,18,67,171,"[(4, 3), (4, 4)]",9,2,50,100
"(7, 7)",5,5,34,107,18,67,174,"[(3, 2), (4, 2)]",3,0,50,100
"(7, 7)",5,5,35,110,18,67,177,"[(2, 5), (2, 6)]",3,0,50,100
"(7, 7)",5,5,36,113,18,67,180,"[(2, 4), (2, 5)]",3,0,50,100
"(7, 7)",5,5,37,117,19,70,187,"[(4, 3), (5, 3)]",7,1,50,100
"(7, 7)",5,5,38,120,21,76,196,"[(5, 1), (6, 1)]",9,2,50,100
"(7, 7)",5,5,39,123,21,76,199,"[(2, 2), (2, 3)]",3,0,50,100
"(7, 7)",5,5,40,126,21,76,202,"[(0, 2), (1, 2)]",3,0,50,100
"(7, 7)",5,5,41,129,23,88,217,"[(5, 3), (5, 4)]",15,2,50,100
"(7, 7)",5,5,42,132,23,88,220,"[(0, 2), (1, 2)]",3,0,50,100
"(7, 7)",5,5,43,135,23,88,223,"[(0, 6), (1, 6)]",3,0,50,100
"(7, 7)",5,5,44,138,24,91,229,"[(3, 3), (4, 3)]",6,1,50,100
"(7, 7)",5,5,45,141,25,94,235,"[(0, 3), (1, 3)]",6,1,50,100
"(7, 7)",5,5,46,144,26,97,241,"[(4, 4), (4, 5)]",6,1,50,100
"(7, 7)",5,5,47,147,26,97,244,"[(1, 1), (2, 1)]",3,0,50,100
"(7, 7)",5,5,48,150,26,97,247,"[(0, 5), (1, 5)]",3,0,50,100
"(7, 7)",5,5,49,153,26,97,250,"[(0, 2), (1, 2)]",3,0,50,100
"(7, 7)",5,5,50,156,26,97,253,"[(2, 5), (2, 6)]",3,0,50,100
"(7, 7)",5,5,51,159,26,97,256,"[(3, 0), (4, 0)]",3,0,50,100
"(7, 7)",5,5,52,162,26,97,259,"[(3, 2), (3, 3)]",3,0,50,100
"(7, 7)",5,5,53,166,27,100,266,"[(4, 4), (5, 4)]",7,1,50,100
"(7, 7)",5,5,54,169,27,100,269,"[(4, 0), (4, 1)]",3,0,50,100
"(7, 7)",5,5,55,172,27,100,272,"[(5, 0), (5, 1)]",3,0,50,100
"(7, 7)",5,5,56,175,27,100,275,"[(3, 3), (4, 3)]",3,0,50,100
"(7, 7)",5,5,57,178,27,100,278,"[(5, 4), (6, 4)]",3,0,50,100
"(7, 7)",5,5,58,181,27,100,281,"[(5, 0), (6, 0)]",3,0,50,100
"(7, 7)",5,5,59,184,27,100,284,"[(0, 5), (0, 6)]",3,0,50,100
"(7, 7)",5,5,60,187,28,103,290,"[(2, 2), (2, 3)]",6,1,50,100
"(7, 7)",5,5,61,190,28,103,293,"[(2, 2), (2, 3)]",3,0,50,100
"(7, 7)",5,5,62,193,28,103,296,"[(1, 1), (1, 2)]",3,0,50,100
"(7, 7)",5,5,63,196,28,103,299,"[(4, 3), (4, 4)]",3,0,50,100
"(7, 7)",5,5,64,199,28,103,302,"[(1, 5), (1, 6)]",3,0,50,100
"(7, 7)",5,5,65,202,28,103,305,"[(3, 3), (3, 4)]",3,0,50,100
"(7, 7)",5,5,66,205,28,103,308,"[(3, 2), (4, 2)]",3,0,50,100
"(7, 7)",5,5,67,208,28,103,311,"[(0, 4), (1, 4)]",3,0,50,100
"(7, 7)",5,5,68,211,29,106,317,"[(2, 5), (3, 5)]",6,1,50,100
"(7, 7)",5,5,69,214,29,106,320,"[(0, 3), (1, 3)]",3,0,50,100
"(7, 7)",5,5,70,217,30,109,326,"[(1, 3), (2, 3)]",6,1,50,100
"(7, 7)",5,5,71,220,31,112,332,"[(3, 3), (3, 4)]",6,1,50,100
"(7, 7)",5,5,72,223,31,112,335,"[(5, 5), (5, 6)]",3,0,50,100
"(7, 7)",5,5,73,226,31,112,338,"[(2, 2), (3, 2)]",3,0,50,100
"(7, 7)",5,5,74,229,31,112,341,"[(2, 1), (2, 2)]",3,0,50,100
"(7, 7)",5,5,75,234,32,115,349,"[(5, 5), (5, 6)]",8,1,50,100
"(7, 7)",5,5,76,237,33,119,356,"[(3, 0), (3, 1)]",7,1,50,100
"(7, 7)",5,5,77,240,33,119,359,"[(2, 1), (3, 1)]",3,0,50,100
"(7, 7)",5,5,78,243,33,119,362,"[(3, 3), (3, 4)]",3,0,50,100
"(7, 7)",5,5,79,246,35,125,371,"[(4, 2), (5, 2)]",9,2,50,100
"(7, 7)",5,5,80,249,36,128,377,"[(2, 4), (3, 4)]",6,1,50,100
"(7, 7)",5,5,81,253,36,128,381,"[(3, 4), (4, 4)]",4,0,50,100
"(7, 7)",5,5,82,256,37,131,387,"[(3, 5), (4, 5)]",6,1,50,100
"(7, 7)",5,5,83,259,38,135,394,"[(1, 6), (2, 6)]",7,1,50,100
"(7, 7)",5,5,84,262,40,141,403,"[(4, 5), (5, 5)]",9,2,50,100
"(7, 7)",5,5,85,265,42,148,413,"[(1, 3), (1, 4)]",10,2,50,100
"(7, 7)",5,5,86,268,42,148,416,"[(0, 3), (0, 4)]",3,0,50,100
"(7, 7)",5,5,87,271,42,148,419,"[(0, 5), (1, 5)]",3,0,50,100
"(7, 7)",5,5,88,275,42,148,423,"[(0, 2), (1, 2)]",4,0,50,100
"(7, 7)",5,5,89,278,42,148,426,"[(1, 3), (1, 4)]",3,0,50,100
"(7, 7)",5,5,90,281,43,151,432,"[(0, 4), (1, 4)]",6,1,50,100
"(7, 7)",5,5,91,284,43,151,435,"[(0, 1), (0, 2)]",3,0,50,100
"(7, 7)",5,5,92,287,43,151,438,"[(5, 4), (6, 4)]",3,0,50,100
"(7, 7)",5,5,93,290,43,151,441,"[(1, 3), (1, 4)]",3,0,50,100
"(7, 7)",5,5,94,293,44,157,450,"[(2, 1), (3, 1)]",9,1,50,100
"(7, 7)",5,5,95,296,45,161,457,"[(1, 5), (2, 5)]",7,1,50,100
"(7, 7)",5,5,96,303,46,165,468,"[(3, 1), (3, 2)]",11,1,50,100
"(7, 7)",5,5,97,306,46,165,471,"[(2, 2), (2, 3)]",3,0,50,100
"(7, 7)",5,5,98,309,50,187,496,"[(1, 0), (1, 1)]",25,4,50,100
"(7, 7)",5,5,99,312,50,187,499,"[(1, 0), (2, 0)]",3,0,50,100
"(7, 7)",5,5,100,315,51,190,505,"[(4, 2), (5, 2)]",6,1,50,100
"(7, 7)",5,5,101,320,53,196,516,"[(2, 1), (2, 2)]",11,2,50,100
"(7, 7)",5,5,102,323,53,196,519,"[(2, 0), (2, 1)]",3,0,50,100
"(7, 7)",5,5,103,326,54,199,525,"[(5, 3), (5, 4)]",6,1,50,100
"(7, 7)",5,5,104,329,54,199,528,"[(5, 6), (6, 6)]",3,0,50,100
"(7, 7)",5,5,105,332,54,199,531,"[(5, 5), (5, 6)]",3,0,50,100
"(7, 7)",5,5,106,335,55,202,537,"[(0, 5), (0, 6)]",6,1,50,100
"(7, 7)",5,5,107,341,56,211,552,"[(4, 2), (4, 3)]",15,1,50,100
"(7, 7)",5,5,108,345,56,211,556,"[(1, 4), (2, 4)]",4,0,50,100
"(7, 7)",5,5,109,348,56,211,559,"[(5, 4), (6, 4)]",3,0,50,100
"(7, 7)",5,5,110,351,56,211,562,"[(1, 0), (2, 0)]",3,0,50,100
"(7, 7)",5,5,111,354,57,214,568,"[(2, 0), (2, 1)]",6,1,50,100
"(7, 7)",5,5,112,357,61,229,586,"[(3, 3), (3, 4)]",18,4,50,100
"(7, 7)",5,5,113,360,62,232,592,"[(1, 3), (1, 4)]",6,1,50,100
"(7, 7)",5,5,114,363,62,232,595,"[(2, 4), (2, 5)]",3,0,50,100
"(7, 7)",5,5,115,366,62,232,598,"[(3, 2), (4, 2)]",3,0,50,100
"(7, 7)",5,5,116,372,63,235,607,"[(5, 3), (6, 3)]",9,1,50,100
"(7, 7)",5,5,117,375,65,242,617,"[(4, 3), (5, 3)]",10,2,50,100
"(7, 7)",5,5,118,378,65,242,620,"[(3, 5), (4, 5)]",3,0,50,100
"(7, 7)",5,5,119,381,65,242,623,"[(6, 5), (6, 6)]",3,0,50,100
"(7, 7)",5,5,120,387,67,253,640,"[(3, 3), (3, 4)]",17,2,50,100
"(7, 7)",5,5,121,390,67,253,643,"[(5, 3), (5, 4)]",3,0,50,100
"(7, 7)",5,5,122,393,67,253,646,"[(2, 2), (2, 3)]",3,0,50,100
"(7, 7)",5,5,123,396,67,253,649,"[(4, 3), (4, 4)]",3,0,50,100
"(7, 7)",5,5,124,399,68,259,658,"[(1, 4), (2, 4)]",9,1,50,100
"(7, 7)",5,5,125,403,68,259,662,"[(1, 5), (2, 5)]",4,0,50,100
"(7, 7)",5,5,126,406,69,262,668,"[(5, 0), (5, 1)]",6,1,50,100
"(7, 7)",5,5,127,409,69,262,671,"[(3, 0), (3, 1)]",3,0,50,100
"(7, 7)",5,5,128,415,71,278,693,"[(2, 4), (3, 4)]",22,2,50,100
"(7, 7)",5,5,129,418,72,281,699,"[(4, 6), (5, 6)]",6,1,50,100
"(7, 7)",5,5,130,421,72,281,702,"[(3, 3), (4, 3)]",3,0,50,100
"(7, 7)",5,5,131,424,73,284,708,"[(2, 5), (3, 5)]",6,1,50,100
"(7, 7)",5,5,132,427,73,284,711,"[(3, 4), (4, 4)]",3,0,50,100
"(7, 7)",5,5,133,431,79,316,747,"[(4, 4), (4, 5)]",36,6,50,100
"(7, 7)",5,5,134,434,79,316,750,"[(1, 5), (2, 5)]",3,0,50,100
"(7, 7)",5,5,135,437,79,316,753,"[(2, 2), (2, 3)]",3,0,50,100
"(7, 7)",5,5,136,440,80,322,762,"[(3, 6), (4, 6)]",9,1,50,100
"(7, 7)",5,5,137,443,82,331,774,"[(5, 5), (5, 6)]",12,2,50,100
"(7, 7)",5,5,138,446,82,331,777,"[(3, 2), (4, 2)]",3,0,50,100
"(7, 7)",5,5,139,449,82,331,780,"[(0, 4), (1, 4)]",3,0,50,100
"(7, 7)",5,5,140,452,82,331,783,"[(2, 2), (2, 3)]",3,0,50,100
"(7, 7)",5,5,141,455,82,331,786,"[(2, 1), (3, 1)]",3,0,50,100
"(7, 7)",5,5,142,459,82,331,790,"[(2, 2), (3, 2)]",4,0,50,100
"(7, 7)",5,5,143,462,82,331,793,"[(3, 2), (4, 2)]",3,0,50,100
"(7, 7)",5,5,144,466,82,331,797,"[(5, 4), (6, 4)]",4,0,50,100
"(7, 7)",5,5,145,469,82,331,800,"[(5, 3), (5, 4)]",3,0,50,100
"(7, 7)",5,5,146,472,85,349,821,"[(5, 2), (6, 2)]",21,3,50,100
"(7, 7)",5,5,147,475,86,352,827,"[(1, 2), (1, 3)]",6,1,50,100
"(7, 7)",5,5,148,478,86,352,830,"[(6, 1), (6, 2)]",3,0,50,100
"(7, 7)",5,5,149,481,86,352,833,"[(0, 4), (1, 4)]",3,0,50,100
"(7, 7)",5,5,150,484,86,352,836,"[(2, 3), (2, 4)]",3,0,50,100
"(7, 7)",5,5,151,487,86,352,839,"[(2, 4), (3, 4)]",3,0,50,100
"(7, 7)",5,5,152,490,86,352,842,"[(2, 1), (3, 1)]",3,0,50,100
"(7, 7)",5,5,153,493,87,355,848,"[(4, 2), (5, 2)]",6,1,50,100
"(7, 7)",5,5,154,496,87,355,851,"[(3, 1), (3, 2)]",3,0,50,100
"(7, 7)",5,5,155,499,88,361,860,"[(1, 2), (2, 2)]",9,1,50,100
"(7, 7)",5,5,156,502,88,361,863,"[(3, 4), (3, 5)]",3,0,50,100
"(7, 7)",5,5,157,506,88,361,867,"[(4, 0), (4, 1)]",4,0,50,100
"(7, 7)",5,5,158,509,88,361,870,"[(5, 5), (5, 6)]",3,0,50,100
"(7, 7)",5,5,159,512,89,367,879,"[(1, 3), (2, 3)]",9,1,50,100
"(7, 7)",5,5,160,515,91,373,888,"[(2, 5), (2, 6)]",9,2,50,100
"(7, 7)",5,5,161,521,93,382,903,"[(2, 0), (2, 1)]",15,2,50,100
"(7, 7)",5,5,162,524,96,392,916,"[(4, 3), (5, 3)]",13,3,50,100
"(7, 7)",5,5,163,528,96,392,920,"[(3, 5), (3, 6)]",4,0,50,100
"(7, 7)",5,5,164,531,97,395,926,"[(5, 5), (5, 6)]",6,1,50,100
"(7, 7)",5,5,165,534,97,395,929,"[(5, 4), (6, 4)]",3,0,50,100
"(7, 7)",5,5,166,537,98,398,935,"[(3, 4), (4, 4)]",6,1,50,100
"(7, 7)",5,5,167,542,98,398,940,"[(5, 4), (6, 4)]",5,0,50,100
"(7, 7)",5,5,168,545,98,398,943,"[(5, 4), (6, 4)]",3,0,50,100
"(7, 7)",5,5,169,548,102,410,958,"[(2, 5), (3, 5)]",15,4,50,100
"(7, 7)",5,5,170,551,105,419,970,"[(3, 2), (4, 2)]",12,3,50,100
"(7, 7)",5,5,171,554,105,419,973,"[(5, 3), (6, 3)]",3,0,50,100
"(7, 7)",5,5,172,557,105,419,976,"[(1, 4), (1, 5)]",3,0,50,100
"(7, 7)",5,5,173,560,106,422,982,"[(1, 1), (2, 1)]",6,1,50,100
"(7, 7)",5,5,174,563,106,422,985,"[(2, 1), (2, 2)]",3,0,50,100
"(7, 7)",5,5,175,566,110,440,1006,"[(3, 2), (4, 2)]",21,4,50,100
"(7, 7)",5,5,176,573,112,446,1019,"[(3, 3), (4, 3)]",13,2,50,100
"(7, 7)",5,5,177,576,112,446,1022,"[(5, 5), (6, 5)]",3,0,50,100
"(7, 7)",5,5,178,579,113,449,1028,"[(5, 1), (5, 2)]",6,1,50,100
"(7, 7)",5,5,179,583,113,449,1032,"[(1, 5), (1, 6)]",4,0,50,100
"(7, 7)",5,5,180,587,114,453,1040,"[(3, 4), (3, 5)]",8,1,50,100
"(7, 7)",5,5,181,590,114,453,1043,"[(0, 5), (1, 5)]",3,0,50,100
"(7, 7)",5,5,182,595,120,480,1075,"[(4, 4), (5, 4)]",32,6,50,100
"(7, 7)",5,5,183,598,120,480,1078,"[(0, 5), (1, 5)]",3,0,50,100
"(7, 7)",5,5,184,601,120,480,1081,"[(4, 2), (5, 2)]",3,0,50,100
"(7, 7)",5,5,185,605,120,480,1085,"[(0, 4), (1, 4)]",4,0,50,100
"(7, 7)",5,5,186,608,120,480,1088,"[(1, 5), (2, 5)]",3,0,50,100
"(7, 7)",5,5,187,611,120,480,1091,"[(2, 5), (2, 6)]",3,0,50,100
"(7, 7)",5,5,188,614,120,480,1094,"[(5, 2), (6, 2)]",3,0,50,100
"(7, 7)",5,5,189,619,120,480,1099,"[(4, 2), (5, 2)]",5,0,50,100
"(7, 7)",5,5,190,622,120,480,1102,"[(4, 1), (4, 2)]",3,0,50,100
"(7, 7)",5,5,191,625,120,480,1105,"[(4, 3), (4, 4)]",3,0,50,100
"(7, 7)",5,5,192,628,122,486,1114,"[(3, 4), (3, 5)]",9,2,50,100
"(7, 7)",5,5,193,631,123,489,1120,"[(4, 5), (5, 5)]",6,1,50,100
"(7, 7)",5,5,194,634,123,489,1123,"[(2, 1), (3, 1)]",3,0,50,100
"(7, 7)",5,5,195,640,123,489,1129,"[(1, 4), (1, 5)]",6,0,50,100
"(7, 7)",5,5,196,643,123,489,1132,"[(1, 0), (1, 1)]",3,0,50,100
"(7, 7)",5,5,197,646,123,489,1135,"[(0, 1), (1, 1)]",3,0,50,100
"(7, 7)",5,5,198,649,123,489,1138,"[(2, 6), (3, 6)]",3,0,50,100
"(7, 7)",5,5,199,652,123,489,1141,"[(6, 5), (6, 6)]",3,0,50,100
"(7, 7)",5,5,200,655,124,492,1147,"[(4, 0), (5, 0)]",6,1,50,100
"(7, 7)",5,5,201,658,125,495,1153,"[(3, 4), (4, 4)]",6,1,50,100
"(7, 7)",5,5,202,661,125,495,1156,"[(0, 0), (1, 0)]",3,0,50,100
"(7, 7)",5,5,203,664,125,495,1159,"[(5, 0), (6, 0)]",3,0,50,100
"(7, 7)",5,5,204,667,125,495,1162,"[(3, 2), (4, 2)]",3,0,50,100
"(7, 7)",5,5,205,671,125,495,1166,"[(2, 3), (2, 4)]",4,0,50,100
"(7, 7)",5,5,206,674,126,498,1172,"[(1, 4), (2, 4)]",6,1,50,100
"(7, 7)",5,5,207,677,126,498,1175,"[(4, 6), (5, 6)]",3,0,50,100
"(7, 7)",5,5,208,680,128,507,1187,"[(4, 3), (4, 4)]",12,2,50,100
"(7, 7)",5,5,209,683,128,507,1190,"[(4, 2), (5, 2)]",3,0,50,100
"(7, 7)",5,5,210,686,129,510,1196,"[(2, 0), (3, 0)]",6,1,50,100
"(7, 7)",5,5,211,689,129,510,1199,"[(4, 0), (4, 1)]",3,0,50,100
"(7, 7)",5,5,212,692,131,518,1210,"[(4, 2), (4, 3)]",11,2,50,100
"(7, 7)",5,5,213,695,133,526,1221,"[(5, 3), (5, 4)]",11,2,50,100
"(7, 7)",5,5,214,698,134,529,1227,"[(0, 3), (0, 4)]",6,1,50,100
"(7, 7)",5,5,215,701,134,529,1230,"[(2, 4), (2, 5)]",3,0,50,100
"(7, 7)",5,5,216,704,134,529,1233,"[(3, 0), (3, 1)]",3,0,50,100
"(7, 7)",5,5,217,710,135,533,1243,"[(4, 0), (4, 1)]",10,1,50,100
"(7, 7)",5,5,218,713,138,542,1255,"[(3, 5), (3, 6)]",12,3,50,100
"(7, 7)",5,5,219,716,138,542,1258,"[(3, 2), (3, 3)]",3,0,50,100
"(7, 7)",5,5,220,719,138,542,1261,"[(4, 2), (5, 2)]",3,0,50,100
"(7, 7)",5,5,221,722,139,545,1267,"[(3, 4), (4, 4)]",6,1,50,100
"(7, 7)",5,5,222,725,140,548,1273,"[(1, 0), (1, 1)]",6,1,50,100
"(7, 7)",5,5,223,728,140,548,1276,"[(2, 5), (2, 6)]",3,0,50,100
"(7, 7)",5,5,224,731,141,552,1283,"[(2, 4), (3, 4)]",7,1,50,100
"(7, 7)",5,5,225,734,143,561,1295,"[(1, 1), (1, 2)]",12,2,50,100
"(7, 7)",5,5,226,737,143,561,1298,"[(0, 2), (0, 3)]",3,0,50,100
"(7, 7)",5,5,227,740,144,564,1304,"[(1, 0), (2, 0)]",6,1,50,100
"(7, 7)",5,5,228,743,147,576,1319,"[(2, 0), (3, 0)]",15,3,50,100
"(7, 7)",5,5,229,746,147,576,1322,"[(2, 1), (2, 2)]",3,0,50,100
"(7, 7)",5,5,230,750,148,581,1331,"[(3, 1), (3, 2)]",9,1,50,100
"(7, 7)",5,5,231,753,152,596,1349,"[(1, 0), (1, 1)]",18,4,50,100
"(7, 7)",5,5,232,756,152,596,1352,"[(4, 1), (5, 1)]",3,0,50,100
"(7, 7)",5,5,233,759,152,596,1355,"[(2, 4), (2, 5)]",3,0,50,100
"(7, 7)",5,5,234,762,153,599,1361,"[(0, 1), (1, 1)]",6,1,50,100
"(7, 7)",5,5,235,765,155,611,1376,"[(2, 1), (3, 1)]",15,2,50,100
"(7, 7)",5,5,236,768,155,611,1379,"[(4, 3), (4, 4)]",3,0,50,100
"(7, 7)",5,5,237,771,155,611,1382,"[(5, 3), (5, 4)]",3,0,50,100
"(7, 7)",5,5,238,775,157,620,1395,"[(1, 4), (1, 5)]",13,2,50,100
"(7, 7)",5,5,239,781,157,620,1401,"[(3, 5), (4, 5)]",6,0,50,100
"(7, 7)",5,5,240,784,157,620,1404,"[(4, 5), (5, 5)]",3,0,50,100
"(7, 7)",5,5,241,787,157,620,1407,"[(4, 2), (5, 2)]",3,0,50,100
"(7, 7)",5,5,242,790,157,620,1410,"[(6, 0), (6, 1)]",3,0,50,100
"(7, 7)",5,5,243,793,157,620,1413,"[(3, 1), (4, 1)]",3,0,50,100
"(7, 7)",5,5,244,796,158,623,1419,"[(3, 6), (4, 6)]",6,1,50,100
"(7, 7)",5,5,245,799,160,629,1428,"[(4, 5), (4, 6)]",9,2,50,100
"(7, 7)",5,5,246,802,161,632,1434,"[(3, 4), (4, 4)]",6,1,50,100
"(7, 7)",5,5,247,805,162,635,1440,"[(5, 5), (6, 5)]",6,1,50,100
"(7, 7)",5,5,248,808,162,635,1443,"[(2, 0), (2, 1)]",3,0,50,100
"(7, 7)",5,5,249,811,164,641,1452,"[(2, 4), (2, 5)]",9,2,50,100
"(7, 7)",5,5,250,817,164,641,1458,"[(5, 3), (6, 3)]",6,0,50,100
"(7, 7)",5,5,251,820,166,647,1467,"[(0, 6), (1, 6)]",9,2,50,100
"(7, 7)",5,5,252,823,166,647,1470,"[(1, 2), (1, 3)]",3,0,50,100
"(7, 7)",5,5,253,826,168,659,1485,"[(5, 4), (5, 5)]",15,2,50,100
"(7, 7)",5,5,254,829,170,667,1496,"[(3, 4), (3, 5)]",11,2,50,100
"(7, 7)",5,5,255,832,174,684,1516,"[(5, 1), (5, 2)]",20,4,50,100
"(7, 7)",5,5,256,835,174,684,1519,"[(2, 1), (2, 2)]",3,0,50,100
"(7, 7)",5,5,257,838,175,687,1525,"[(4, 4), (4, 5)]",6,1,50,100
"(7, 7)",5,5,258,841,175,687,1528,"[(3, 3), (3, 4)]",3,0,50,100
"(7, 7)",5,5,259,844,175,687,1531,"[(3, 5), (4, 5)]",3,0,50,100
"(7, 7)",5,5,260,847,175,687,1534,"[(2, 4), (3, 4)]",3,0,50,100
"(7, 7)",5,5,261,850,176,690,1540,"[(3, 4), (4, 4)]",6,1,50,100
"(7, 7)",5,5,262,853,176,690,1543,"[(3, 1), (4, 1)]",3,0,50,100
"(7, 7)",5,5,263,856,176,690,1546,"[(3, 5), (4, 5)]",3,0,50,100
"(7, 7)",5,5,264,859,176,690,1549,"[(4, 2), (4, 3)]",3,0,50,100
"(7, 7)",5,5,265,862,176,690,1552,"[(2, 3), (2, 4)]",3,0,50,100
"(7, 7)",5,5,266,865,177,693,1558,"[(6, 3), (6, 4)]",6,1,50,100
"(7, 7)",5,5,267,868,177,693,1561,"[(5, 0), (6, 0)]",3,0,50,100
"(7, 7)",5,5,268,872,177,693,1565,"[(2, 4), (2, 5)]",4,0,50,100
"(7, 7)",5,5,269,875,178,696,1571,"[(0, 2), (1, 2)]",6,1,50,100
"(7, 7)",5,5,270,878,178,696,1574,"[(1, 3), (1, 4)]",3,0,50,100
"(7, 7)",5,5,271,881,178,696,1577,"[(5, 0), (6, 0)]",3,0,50,100
"(7, 7)",5,5,272,884,178,696,1580,"[(0, 1), (1, 1)]",3,0,50,100
"(7, 7)",5,5,273,887,182,717,1604,"[(5, 0), (5, 1)]",24,4,50,100
"(7, 7)",5,5,274,890,182,717,1607,"[(3, 5), (4, 5)]",3,0,50,100
"(7, 7)",5,5,275,894,183,720,1614,"[(2, 3), (2, 4)]",7,1,50,100
"(7, 7)",5,5,276,897,184,723,1620,"[(5, 2), (5, 3)]",6,1,50,100
"(7, 7)",5,5,277,900,184,723,1623,"[(4, 0), (4, 1)]",3,0,50,100
"(7, 7)",5,5,278,904,184,723,1627,"[(2, 3), (2, 4)]",4,0,50,100
"(7, 7)",5,5,279,910,184,723,1633,"[(0, 4), (1, 4)]",6,0,50,100
"(7, 7)",5,5,280,913,184,723,1636,"[(3, 1), (4, 1)]",3,0,50,100
"(7, 7)",5,5,281,916,184,723,1639,"[(0, 2), (0, 3)]",3,0,50,100
"(7, 7)",5,5,282,919,185,727,1646,"[(1, 2), (2, 2)]",7,1,50,100
"(7, 7)",5,5,283,922,185,727,1649,"[(1, 3), (1, 4)]",3,0,50,100
"(7, 7)",5,5,284,925,186,730,1655,"[(3, 3), (4, 3)]",6,1,50,100
"(7, 7)",5,5,285,928,186,730,1658,"[(1, 5), (1, 6)]",3,0,50,100
"(7, 7)",5,5,286,931,186,730,1661,"[(2, 6), (3, 6)]",3,0,50,100
"(7, 7)",5,5,287,934,192,758,1692,"[(3, 4), (4, 4)]",31,6,50,100
"(7, 7)",5,5,288,937,192,758,1695,"[(4, 4), (5, 4)]",3,0,50,100
"(7, 7)",5,5,289,940,192,758,1698,"[(5, 3), (6, 3)]",3,0,50,100
"(7, 7)",5,5,290,943,195,771,1714,"[(4, 3), (5, 3)]",16,3,50,100
"(7, 7)",5,5,291,946,195,771,1717,"[(4, 4), (5, 4)]",3,0,50,100
"(7, 7)",5,5,292,950,195,771,1721,"[(1, 4), (1, 5)]",4,0,50,100
"(7, 7)",5,5,293,953,198,783,1736,"[(6, 1), (6, 2)]",15,3,50,100
"(7, 7)",5,5,294,956,201,795,1751,"[(5, 1), (6, 1)]",15,3,50,100
"(7, 7)",5,5,295,959,202,798,1757,"[(1, 5), (1, 6)]",6,1,50,100
"(7, 7)",5,5,296,962,203,801,1763,"[(5, 2), (6, 2)]",6,1,50,100
"(7, 7)",5,5,297,965,203,801,1766,"[(1, 3), (1, 4)]",3,0,50,100
"(7, 7)",5,5,298,968,203,801,1769,"[(4, 2), (4, 3)]",3,0,50,100
"(7, 7)",5,5,299,971,204,807,1778,"[(6, 2), (6, 3)]",9,1,50,100
