Grid Size,Max Colors,Actual colors,Total User Moves count,Total deterministic score,Total Avalanche count,Total non-deterministic score,Total score,Selected Move,Move Score,Avalanche per selected move,Total Moves Available per Game Setting,Experiment Repeat
"(10, 10)",8,8,4079,12554,1026,3597,16151,"[(4, 1), (4, 2)]",3,0,50,100
"(10, 10)",8,8,4080,12557,1029,3607,16164,"[(8, 1), (8, 2)]",13,3,50,100
"(10, 10)",8,8,4081,12560,1029,3607,16167,"[(4, 1), (4, 2)]",3,0,50,100
"(10, 10)",8,8,4082,12563,1029,3607,16170,"[(6, 7), (7, 7)]",3,0,50,100
"(10, 10)",8,8,4083,12566,1029,3607,16173,"[(7, 0), (7, 1)]",3,0,50,100
"(10, 10)",8,8,4084,12569,1029,3607,16176,"[(6, 0), (6, 1)]",3,0,50,100
"(10, 10)",8,8,4085,12572,1029,3607,16179,"[(4, 0), (4, 1)]",3,0,50,100
"(10, 10)",8,8,4086,12578,1029,3607,16185,"[(0, 1), (1, 1)]",6,0,50,100
"(10, 10)",8,8,4087,12581,1029,3607,16188,"[(3, 8), (4, 8)]",3,0,50,100
"(10, 10)",8,8,4088,12584,1029,3607,16191,"[(3, 5), (4, 5)]",3,0,50,100
"(10, 10)",8,8,4089,12587,1029,3607,16194,"[(0, 3), (0, 4)]",3,0,50,100
"(10, 10)",8,8,4090,12590,1029,3607,16197,"[(7, 4), (8, 4)]",3,0,50,100
"(10, 10)",8,8,4091,12593,1029,3607,16200,"[(4, 4), (4, 5)]",3,0,50,100
"(10, 10)",8,8,4092,12596,1030,3610,16206,"[(4, 4), (4, 5)]",6,1,50,100
"(10, 10)",8,8,4093,12599,1030,3610,16209,"[(1, 7), (1, 8)]",3,0,50,100
"(10, 10)",8,8,4094,12602,1030,3610,16212,"[(8, 3), (8, 4)]",3,0,50,100
"(10, 10)",8,8,4095,12605,1030,3610,16215,"[(4, 4), (4, 5)]",3,0,50,100
"(10, 10)",8,8,4096,12608,1030,3610,16218,"[(4, 3), (4, 4)]",3,0,50,100
"(10, 10)",8,8,4097,12611,1030,3610,16221,"[(7, 5), (7, 6)]",3,0,50,100
"(10, 10)",8,8,4098,12614,1030,3610,16224,"[(7, 5), (7, 6)]",3,0,50,100
"(10, 10)",8,8,4099,12617,1030,3610,16227,"[(7, 3), (7, 4)]",3,0,50,100
"(10, 10)",8,8,4100,12620,1030,3610,16230,"[(7, 7), (7, 8)]",3,0,50,100
"(10, 10)",8,8,4101,12623,1030,3610,16233,"[(4, 5), (5, 5)]",3,0,50,100
"(10, 10)",8,8,4102,12626,1030,3610,16236,"[(5, 2), (6, 2)]",3,0,50,100
"(10, 10)",8,8,4103,12629,1031,3613,16242,"[(8, 2), (9, 2)]",6,1,50,100
"(10, 10)",8,8,4104,12632,1031,3613,16245,"[(4, 6), (4, 7)]",3,0,50,100
"(10, 10)",8,8,4105,12635,1031,3613,16248,"[(0, 2), (1, 2)]",3,0,50,100
"(10, 10)",8,8,4106,12638,1031,3613,16251,"[(8, 4), (9, 4)]",3,0,50,100
"(10, 10)",8,8,4107,12641,1031,3613,16254,"[(2, 3), (3, 3)]",3,0,50,100
"(10, 10)",8,8,4108,12644,1032,3616,16260,"[(0, 3), (1, 3)]",6,1,50,100
"(10, 10)",8,8,4109,12647,1032,3616,16263,"[(1, 2), (2, 2)]",3,0,50,100
"(10, 10)",8,8,4110,12650,1032,3616,16266,"[(0, 4), (0, 5)]",3,0,50,100
"(10, 10)",8,8,4111,12653,1032,3616,16269,"[(4, 0), (5, 0)]",3,0,50,100
"(10, 10)",8,8,4112,12656,1032,3616,16272,"[(4, 7), (5, 7)]",3,0,50,100
"(10, 10)",8,8,4113,12659,1032,3616,16275,"[(1, 0), (1, 1)]",3,0,50,100
"(10, 10)",8,8,4114,12662,1032,3616,16278,"[(7, 8), (8, 8)]",3,0,50,100
"(10, 10)",8,8,4115,12665,1033,3619,16284,"[(9, 6), (9, 7)]",6,1,50,100
"(10, 10)",8,8,4116,12671,1033,3619,16290,"[(0, 4), (1, 4)]",6,0,50,100
"(10, 10)",8,8,4117,12674,1033,3619,16293,"[(1, 8), (1, 9)]",3,0,50,100
"(10, 10)",8,8,4118,12677,1033,3619,16296,"[(4, 7), (4, 8)]",3,0,50,100
"(10, 10)",8,8,4119,12680,1033,3619,16299,"[(9, 5), (9, 6)]",3,0,50,100
"(10, 10)",8,8,4120,12683,1033,3619,16302,"[(2, 1), (2, 2)]",3,0,50,100
"(10, 10)",8,8,4121,12686,1033,3619,16305,"[(1, 6), (1, 7)]",3,0,50,100
"(10, 10)",8,8,4122,12689,1033,3619,16308,"[(8, 3), (9, 3)]",3,0,50,100
"(10, 10)",8,8,4123,12692,1033,3619,16311,"[(9, 8), (9, 9)]",3,0,50,100
"(10, 10)",8,8,4124,12695,1033,3619,16314,"[(7, 2), (7, 3)]",3,0,50,100
"(10, 10)",8,8,4125,12698,1033,3619,16317,"[(3, 2), (4, 2)]",3,0,50,100
"(10, 10)",8,8,4126,12701,1033,3619,16320,"[(2, 8), (2, 9)]",3,0,50,100
"(10, 10)",8,8,4127,12704,1033,3619,16323,"[(1, 8), (1, 9)]",3,0,50,100
"(10, 10)",8,8,4128,12707,1033,3619,16326,"[(2, 2), (2, 3)]",3,0,50,100
"(10, 10)",8,8,4129,12710,1033,3619,16329,"[(2, 7), (2, 8)]",3,0,50,100
"(10, 10)",8,8,4130,12713,1033,3619,16332,"[(0, 3), (0, 4)]",3,0,50,100
"(10, 10)",8,8,4131,12716,1033,3619,16335,"[(0, 6), (1, 6)]",3,0,50,100
"(10, 10)",8,8,4132,12719,1033,3619,16338,"[(0, 1), (0, 2)]",3,0,50,100
"(10, 10)",8,8,4133,12722,1033,3619,16341,"[(1, 6), (1, 7)]",3,0,50,100
"(10, 10)",8,8,4134,12725,1033,3619,16344,"[(0, 3), (0, 4)]",3,0,50,100
"(10, 10)",8,8,4135,12728,1033,3619,16347,"[(1, 2), (1, 3)]",3,0,50,100
"(10, 10)",8,8,4136,12731,1033,3619,16350,"[(2, 3), (3, 3)]",3,0,50,100
"(10, 10)",8,8,4137,12734,1033,3619,16353,"[(2, 3), (3, 3)]",3,0,50,100
"(10, 10)",8,8,4138,12737,1034,3622,16359,"[(1, 2), (1, 3)]",6,1,50,100
"(10, 10)",8,8,4139,12740,1035,3625,16365,"[(2, 4), (2, 5)]",6,1,50,100
"(10, 10)",8,8,4140,12743,1036,3628,16371,"[(1, 0), (1, 1)]",6,1,50,100
"(10, 10)",8,8,4141,12746,1036,3628,16374,"[(3, 3), (4, 3)]",3,0,50,100
"(10, 10)",8,8,4142,12749,1036,3628,16377,"[(1, 3), (1, 4)]",3,0,50,100
"(10, 10)",8,8,4143,12752,1036,3628,16380,"[(2, 3), (2, 4)]",3,0,50,100
"(10, 10)",8,8,4144,12755,1037,3631,16386,"[(3, 3), (4, 3)]",6,1,50,100
"(10, 10)",8,8,4145,12758,1037,3631,16389,"[(3, 1), (3, 2)]",3,0,50,100
"(10, 10)",8,8,4146,12762,1037,3631,16393,"[(2, 2), (2, 3)]",4,0,50,100
"(10, 10)",8,8,4147,12765,1037,3631,16396,"[(3, 1), (4, 1)]",3,0,50,100
"(10, 10)",8,8,4148,12768,1037,3631,16399,"[(3, 6), (4, 6)]",3,0,50,100
"(10, 10)",8,8,4149,12771,1037,3631,16402,"[(3, 4), (4, 4)]",3,0,50,100
"(10, 10)",8,8,4150,12774,1037,3631,16405,"[(6, 5), (7, 5)]",3,0,50,100
"(10, 10)",8,8,4151,12777,1037,3631,16408,"[(5, 6), (5, 7)]",3,0,50,100
"(10, 10)",8,8,4152,12780,1037,3631,16411,"[(2, 9), (3, 9)]",3,0,50,100
"(10, 10)",8,8,4153,12783,1037,3631,16414,"[(3, 8), (4, 8)]",3,0,50,100
"(10, 10)",8,8,4154,12786,1037,3631,16417,"[(6, 7), (6, 8)]",3,0,50,100
"(10, 10)",8,8,4155,12789,1038,3634,16423,"[(4, 4), (4, 5)]",6,1,50,100
"(10, 10)",8,8,4156,12792,1038,3634,16426,"[(7, 8), (8, 8)]",3,0,50,100
"(10, 10)",8,8,4157,12795,1039,3637,16432,"[(3, 5), (3, 6)]",6,1,50,100
"(10, 10)",8,8,4158,12798,1039,3637,16435,"[(7, 8), (7, 9)]",3,0,50,100
"(10, 10)",8,8,4159,12801,1039,3637,16438,"[(8, 9), (9, 9)]",3,0,50,100
"(10, 10)",8,8,4160,12804,1039,3637,16441,"[(8, 7), (8, 8)]",3,0,50,100
"(10, 10)",8,8,4161,12807,1040,3645,16452,"[(2, 6), (2, 7)]",11,1,50,100
"(10, 10)",8,8,4162,12810,1040,3645,16455,"[(8, 6), (9, 6)]",3,0,50,100
"(10, 10)",8,8,4163,12813,1040,3645,16458,"[(3, 8), (4, 8)]",3,0,50,100
"(10, 10)",8,8,4164,12816,1041,3648,16464,"[(8, 4), (8, 5)]",6,1,50,100
"(10, 10)",8,8,4165,12819,1041,3648,16467,"[(8, 5), (9, 5)]",3,0,50,100
"(10, 10)",8,8,4166,12822,1041,3648,16470,"[(4, 4), (4, 5)]",3,0,50,100
"(10, 10)",8,8,4167,12825,1042,3653,16478,"[(3, 2), (4, 2)]",8,1,50,100
"(10, 10)",8,8,4168,12828,1042,3653,16481,"[(1, 1), (1, 2)]",3,0,50,100
"(10, 10)",8,8,4169,12831,1042,3653,16484,"[(0, 6), (1, 6)]",3,0,50,100
"(10, 10)",8,8,4170,12834,1043,3657,16491,"[(6, 5), (6, 6)]",7,1,50,100
"(10, 10)",8,8,4171,12837,1043,3657,16494,"[(1, 9), (2, 9)]",3,0,50,100
"(10, 10)",8,8,4172,12840,1044,3660,16500,"[(7, 4), (8, 4)]",6,1,50,100
"(10, 10)",8,8,4173,12843,1044,3660,16503,"[(5, 1), (5, 2)]",3,0,50,100
"(10, 10)",8,8,4174,12849,1044,3660,16509,"[(0, 7), (0, 8)]",6,0,50,100
"(10, 10)",8,8,4175,12852,1044,3660,16512,"[(8, 9), (9, 9)]",3,0,50,100
"(10, 10)",8,8,4176,12855,1044,3660,16515,"[(2, 5), (2, 6)]",3,0,50,100
"(10, 10)",8,8,4177,12858,1044,3660,16518,"[(1, 6), (2, 6)]",3,0,50,100
"(10, 10)",8,8,4178,12861,1044,3660,16521,"[(0, 7), (1, 7)]",3,0,50,100
"(10, 10)",8,8,4179,12864,1045,3663,16527,"[(6, 5), (7, 5)]",6,1,50,100
"(10, 10)",8,8,4180,12867,1046,3666,16533,"[(3, 4), (4, 4)]",6,1,50,100
"(10, 10)",8,8,4181,12870,1046,3666,16536,"[(8, 7), (9, 7)]",3,0,50,100
"(10, 10)",8,8,4182,12873,1046,3666,16539,"[(2, 5), (3, 5)]",3,0,50,100
"(10, 10)",8,8,4183,12876,1046,3666,16542,"[(7, 3), (8, 3)]",3,0,50,100
"(10, 10)",8,8,4184,12879,1046,3666,16545,"[(3, 4), (3, 5)]",3,0,50,100
"(10, 10)",8,8,4185,12882,1046,3666,16548,"[(6, 5), (6, 6)]",3,0,50,100
"(10, 10)",8,8,4186,12885,1046,3666,16551,"[(4, 9), (5, 9)]",3,0,50,100
"(10, 10)",8,8,4187,12888,1046,3666,16554,"[(1, 3), (1, 4)]",3,0,50,100
"(10, 10)",8,8,4188,12891,1046,3666,16557,"[(3, 6), (4, 6)]",3,0,50,100
"(10, 10)",8,8,4189,12895,1047,3669,16564,"[(4, 7), (4, 8)]",7,1,50,100
"(10, 10)",8,8,4190,12898,1048,3672,16570,"[(2, 6), (2, 7)]",6,1,50,100
"(10, 10)",8,8,4191,12901,1048,3672,16573,"[(6, 6), (6, 7)]",3,0,50,100
"(10, 10)",8,8,4192,12904,1048,3672,16576,"[(5, 6), (6, 6)]",3,0,50,100
"(10, 10)",8,8,4193,12907,1049,3678,16585,"[(5, 5), (6, 5)]",9,1,50,100
"(10, 10)",8,8,4194,12910,1049,3678,16588,"[(5, 2), (5, 3)]",3,0,50,100
