Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Avg No. of Shuffles/Deadlocks Occurred per game,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per config,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per game,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move
bottom_agent,"(10, 10)",70,1,0,1,3127,6.254,62.54,1509,30.18,500,10,9141,18.282,41,0.82,10,150,3,0,0,0
top_agent,"(10, 10)",70,4,0,4,2294,4.588,45.88,1507,30.14,500,10,8999,17.998,40,0.8,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,4,0,4,2355,4.71,47.1,1509,30.18,500,10,13130,26.26,49,0.98,10,150,3,0,0,0
top_agent,"(10, 10)",70,10,0,10,2047,4.094,40.94,1517,30.34,500,10,10534,21.068,51,1.02,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",70,10,0,10,2259,4.518,45.18,1506,30.12,500,10,12428,24.856,50,1,10,150,3,0,0,0
top_agent,"(10, 10)",70,3,0,3,3043,6.086,60.86,1512,30.24,500,10,8626,17.252,39,0.78,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,3,0,3,3315,6.63,66.3,1509,30.18,500,10,12740,25.48,65,1.3,10,150,3,0,0,0
top_agent,"(10, 10)",70,25,0,25,3392,6.784,67.84,1503,30.06,500,10,10870,21.74,45,0.9,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,25,0,25,3161,6.322,63.22,1512,30.24,500,10,12765,25.53,59,1.18,10,150,3,0,0,0
top_agent,"(10, 10)",70,15,0,15,3265,6.53,65.3,1500,30,500,10,8632,17.264,38,0.76,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,15,0,15,3205,6.41,64.1,1502,30.04,500,10,11402,22.804,47,0.94,10,150,3,0,0,0
top_agent,"(10, 10)",70,3,0,3,2234,4.468,44.68,1505,30.1,500,10,10367,20.734,51,1.02,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,3,0,3,2571,5.142,51.42,1503,30.06,500,10,11191,22.382,46,0.92,10,150,3,0,0,0
top_agent,"(10, 10)",70,13,0,13,3502,7.004,70.04,1501,30.02,500,10,10354,20.708,44,0.88,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,13,0,13,3341,6.682,66.82,1504,30.08,500,10,9827,19.654,43,0.86,10,150,3,0,0,0
top_agent,"(10, 10)",70,5,0,5,2975,5.95,59.5,1509,30.18,500,10,12407,24.814,59,1.18,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,5,0,5,2885,5.77,57.7,1510,30.2,500,10,10544,21.088,50,1,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,2860,5.72,57.2,1513,30.26,500,10,9846,19.692,46,0.92,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,3323,6.646,66.46,1507,30.14,500,10,10675,21.35,51,1.02,10,150,3,0,0,0
top_agent,"(10, 10)",70,1,0,1,3913,7.826,78.26,1512,30.24,500,10,9501,19.002,43,0.86,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",70,1,0,1,3999,7.998,79.98,1512,30.24,500,10,11380,22.76,55,1.1,10,150,3,0,0,0
top_agent,"(10, 10)",70,2,0,2,2739,5.478,54.78,1515,30.3,500,10,9989,19.978,48,0.96,10,150,3,6,0.12,2
bottom_agent,"(10, 10)",70,2,0,2,2467,4.934,49.34,1509,30.18,500,10,8270,16.54,39,0.78,10,150,3,0,0,0
top_agent,"(10, 10)",70,5,0,5,3560,7.12,71.2,1503,30.06,500,10,8290,16.58,29,0.58,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,5,0,5,3400,6.8,68,1503,30.06,500,10,11907,23.814,50,1,10,150,3,0,0,0
top_agent,"(10, 10)",70,3,0,3,5063,10.126,101.26,1506,30.12,500,10,12412,24.824,56,1.12,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,3,0,3,5029,10.058,100.58,1510,30.2,500,10,11881,23.762,52,1.04,10,150,3,0,0,0
top_agent,"(10, 10)",70,2,0,2,4644,9.288,92.88,1506,30.12,500,10,10159,20.318,42,0.84,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,2,0,2,4183,8.366,83.66,1500,30,500,10,8783,17.566,40,0.8,10,150,3,0,0,0
top_agent,"(10, 10)",70,1,0,1,2748,5.496,54.96,1509,30.18,500,10,12578,25.156,58,1.16,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,1,0,1,2567,5.134,51.34,1518,30.36,500,10,11059,22.118,48,0.96,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,3530,7.06,70.6,1513,30.26,500,10,12925,25.85,54,1.08,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,3846,7.692,76.92,1506,30.12,500,10,11378,22.756,45,0.9,10,150,3,0,0,0
top_agent,"(10, 10)",70,12,1,11,2857,5.714,57.14,1503,30.06,500,10,11201,22.402,49,0.98,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,12,1,11,2539,5.078,50.78,1510,30.2,500,10,11730,23.46,53,1.06,10,150,3,0,0,0
top_agent,"(10, 10)",70,1,0,1,2487,4.974,49.74,1505,30.1,500,10,9694,19.388,41,0.82,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,1,0,1,2568,5.136,51.36,1509,30.18,500,10,11713,23.426,56,1.12,10,150,3,0,0,0
top_agent,"(10, 10)",70,4,0,4,4153,8.306,83.06,1504,30.08,500,10,13104,26.208,48,0.96,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,4,0,4,4134,8.268,82.68,1504,30.08,500,10,10159,20.318,49,0.98,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,2712,5.424,54.24,1514,30.28,500,10,11218,22.436,49,0.98,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,2729,5.458,54.58,1505,30.1,500,10,11886,23.772,57,1.14,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,2890,5.78,57.8,1509,30.18,500,10,10512,21.024,46,0.92,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,3023,6.046,60.46,1506,30.12,500,10,9810,19.62,42,0.84,10,150,3,0,0,0
top_agent,"(10, 10)",70,1,0,1,3530,7.06,70.6,1509,30.18,500,10,9817,19.634,48,0.96,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,1,0,1,3223,6.446,64.46,1507,30.14,500,10,11895,23.79,49,0.98,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,5171,10.342,103.42,1504,30.08,500,10,11006,22.012,51,1.02,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,4929,9.858,98.58,1503,30.06,500,10,11340,22.68,55,1.1,10,150,3,0,0,0
top_agent,"(10, 10)",70,3,0,3,3829,7.658,76.58,1502,30.04,500,10,13066,26.132,56,1.12,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,3,0,3,4043,8.086,80.86,1500,30,500,10,10832,21.664,44,0.88,10,150,3,0,0,0
top_agent,"(10, 10)",70,2,0,2,2873,5.746,57.46,1511,30.22,500,10,11579,23.158,48,0.96,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,2,0,2,3045,6.09,60.9,1500,30,500,10,10013,20.026,45,0.9,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,2891,5.782,57.82,1510,30.2,500,10,8800,17.6,35,0.7,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,2986,5.972,59.72,1512,30.24,500,10,8994,17.988,40,0.8,10,150,3,0,0,0
top_agent,"(10, 10)",70,2,0,2,2688,5.376,53.76,1512,30.24,500,10,11578,23.156,53,1.06,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,2,0,2,2662,5.324,53.24,1517,30.34,500,10,13113,26.226,62,1.24,10,150,3,0,0,0
top_agent,"(10, 10)",70,2,0,2,2818,5.636,56.36,1505,30.1,500,10,8436,16.872,38,0.76,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,2,0,2,2594,5.188,51.88,1509,30.18,500,10,9686,19.372,41,0.82,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,2474,4.948,49.48,1507,30.14,500,10,10879,21.758,50,1,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",70,0,0,0,2382,4.764,47.64,1510,30.2,500,10,10676,21.352,46,0.92,10,150,3,3,0.06,1
top_agent,"(10, 10)",70,0,0,0,2804,5.608,56.08,1508,30.16,500,10,13275,26.55,58,1.16,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,2963,5.926,59.26,1515,30.3,500,10,11201,22.402,49,0.98,10,150,3,0,0,0
top_agent,"(10, 10)",70,2,0,2,2448,4.896,48.96,1511,30.22,500,10,10339,20.678,49,0.98,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,2,0,2,2749,5.498,54.98,1506,30.12,500,10,12758,25.516,58,1.16,10,150,3,0,0,0
top_agent,"(10, 10)",70,6,0,6,3856,7.712,77.12,1501,30.02,500,10,12060,24.12,50,1,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,6,0,6,3340,6.68,66.8,1510,30.2,500,10,9644,19.288,46,0.92,10,150,3,0,0,0
top_agent,"(10, 10)",70,6,0,6,3377,6.754,67.54,1501,30.02,500,10,11888,23.776,48,0.96,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,6,0,6,3275,6.55,65.5,1503,30.06,500,10,9643,19.286,44,0.88,10,150,3,0,0,0
top_agent,"(10, 10)",70,1,0,1,3108,6.216,62.16,1510,30.2,500,10,10853,21.706,48,0.96,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,1,0,1,2866,5.732,57.32,1512,30.24,500,10,12393,24.786,58,1.16,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,4223,8.446,84.46,1507,30.14,500,10,11348,22.696,50,1,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,3927,7.854,78.54,1506,30.12,500,10,11191,22.382,47,0.94,10,150,3,0,0,0
top_agent,"(10, 10)",70,4,0,4,4156,8.312,83.12,1500,30,500,10,10687,21.374,46,0.92,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,4,0,4,4648,9.296,92.96,1510,30.2,500,10,10016,20.032,41,0.82,10,150,3,3,0.06,1
top_agent,"(10, 10)",70,3,0,3,2673,5.346,53.46,1503,30.06,500,10,12575,25.15,58,1.16,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,3,0,3,2521,5.042,50.42,1509,30.18,500,10,10343,20.686,44,0.88,10,150,3,0,0,0
top_agent,"(10, 10)",70,8,1,7,2637,5.274,52.74,1505,30.1,500,10,12050,24.1,54,1.08,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,8,1,7,2730,5.46,54.6,1514,30.28,500,10,10867,21.734,47,0.94,10,150,3,0,0,0
top_agent,"(10, 10)",70,3,0,3,1915,3.83,38.3,1506,30.12,500,10,9843,19.686,47,0.94,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,3,0,3,2086,4.172,41.72,1519,30.38,500,10,11408,22.816,50,1,10,150,3,0,0,0
top_agent,"(10, 10)",70,9,0,9,3758,7.516,75.16,1506,30.12,500,10,8619,17.238,38,0.76,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,9,0,9,4049,8.098,80.98,1507,30.14,500,10,9277,18.554,37,0.74,10,150,3,0,0,0
top_agent,"(10, 10)",70,6,0,6,3992,7.984,79.84,1515,30.3,500,10,8984,17.968,39,0.78,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",70,6,0,6,3311,6.622,66.22,1510,30.2,500,10,10160,20.32,51,1.02,10,150,3,3,0.06,1
top_agent,"(10, 10)",70,7,0,7,3287,6.574,65.74,1506,30.12,500,10,11708,23.416,54,1.08,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,7,0,7,3327,6.654,66.54,1500,30,500,10,9647,19.294,47,0.94,10,150,3,0,0,0
top_agent,"(10, 10)",70,2,0,2,3773,7.546,75.46,1514,30.28,500,10,10701,21.402,41,0.82,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,2,0,2,3255,6.51,65.1,1504,30.08,500,10,10505,21.01,49,0.98,10,150,3,0,0,0
top_agent,"(10, 10)",70,17,1,16,4088,8.176,81.76,1510,30.2,500,10,9821,19.642,40,0.8,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,17,1,16,3993,7.986,79.86,1500,30,500,10,11871,23.742,55,1.1,10,150,3,0,0,0
top_agent,"(10, 10)",70,1,0,1,3606,7.212,72.12,1504,30.08,500,10,9313,18.626,43,0.86,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,1,0,1,3728,7.456,74.56,1510,30.2,500,10,12402,24.804,59,1.18,10,150,3,3,0.06,1
top_agent,"(10, 10)",70,13,1,12,4214,8.428,84.28,1513,30.26,500,10,9346,18.692,40,0.8,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,13,1,12,3904,7.808,78.08,1505,30.1,500,10,11180,22.36,51,1.02,10,150,3,0,0,0
top_agent,"(10, 10)",70,15,0,15,3396,6.792,67.92,1514,30.28,500,10,12775,25.55,53,1.06,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,15,0,15,3660,7.32,73.2,1501,30.02,500,10,12044,24.088,54,1.08,10,150,3,0,0,0
top_agent,"(10, 10)",70,4,0,4,3587,7.174,71.74,1507,30.14,500,10,11216,22.432,44,0.88,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,4,0,4,3592,7.184,71.84,1515,30.3,500,10,11396,22.792,49,0.98,10,150,3,0,0,0
top_agent,"(10, 10)",70,1,0,1,4139,8.278,82.78,1503,30.06,500,10,9474,18.948,36,0.72,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,1,0,1,4142,8.284,82.84,1505,30.1,500,10,9642,19.284,43,0.86,10,150,3,3,0.06,1
top_agent,"(10, 10)",70,6,0,6,2916,5.832,58.32,1503,30.06,500,10,11360,22.72,52,1.04,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,6,0,6,2891,5.782,57.82,1504,30.08,500,10,10528,21.056,38,0.76,10,150,3,0,0,0
top_agent,"(10, 10)",70,3,1,2,2574,5.148,51.48,1506,30.12,500,10,10538,21.076,44,0.88,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,3,1,2,2781,5.562,55.62,1504,30.08,500,10,10694,21.388,43,0.86,10,150,3,0,0,0
top_agent,"(10, 10)",70,16,0,16,2773,5.546,55.46,1503,30.06,500,10,12747,25.494,53,1.06,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,16,0,16,3057,6.114,61.14,1507,30.14,500,10,11732,23.464,60,1.2,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,3142,6.284,62.84,1509,30.18,500,10,10851,21.702,57,1.14,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,3198,6.396,63.96,1507,30.14,500,10,10365,20.73,43,0.86,10,150,3,0,0,0
top_agent,"(10, 10)",70,1,0,1,2984,5.968,59.68,1503,30.06,500,10,8794,17.588,42,0.84,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,1,0,1,3175,6.35,63.5,1515,30.3,500,10,15508,31.016,70,1.4,10,150,3,0,0,0
top_agent,"(10, 10)",70,19,2,17,2212,4.424,44.24,1510,30.2,500,10,10853,21.706,46,0.92,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,19,2,17,1982,3.964,39.64,1506,30.12,500,10,6598,13.196,29,0.58,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,2748,5.496,54.96,1509,30.18,500,10,11744,23.488,56,1.12,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,2928,5.856,58.56,1504,30.08,500,10,10191,20.382,50,1,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,3443,6.886,68.86,1513,30.26,500,10,12928,25.856,55,1.1,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,3593,7.186,71.86,1520,30.4,500,10,10184,20.368,49,0.98,10,150,3,0,0,0
top_agent,"(10, 10)",70,6,1,5,2023,4.046,40.46,1510,30.2,500,10,9172,18.344,41,0.82,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,6,1,5,2017,4.034,40.34,1515,30.3,500,10,9352,18.704,39,0.78,10,150,3,0,0,0
top_agent,"(10, 10)",70,3,0,3,2909,5.818,58.18,1509,30.18,500,10,9839,19.678,46,0.92,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,3,0,3,2874,5.748,57.48,1508,30.16,500,10,9842,19.684,43,0.86,10,150,3,0,0,0
top_agent,"(10, 10)",70,8,0,8,3716,7.432,74.32,1504,30.08,500,10,12228,24.456,55,1.1,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,8,0,8,3247,6.494,64.94,1510,30.2,500,10,13081,26.162,64,1.28,10,150,3,0,0,0
top_agent,"(10, 10)",70,2,0,2,2206,4.412,44.12,1507,30.14,500,10,10881,21.762,48,0.96,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,2,0,2,2072,4.144,41.44,1507,30.14,500,10,11772,23.544,52,1.04,10,150,3,0,0,0
top_agent,"(10, 10)",70,12,0,12,2986,5.972,59.72,1504,30.08,500,10,10327,20.654,42,0.84,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,12,0,12,2800,5.6,56,1510,30.2,500,10,9310,18.62,45,0.9,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,2889,5.778,57.78,1515,30.3,500,10,12240,24.48,51,1.02,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,2603,5.206,52.06,1500,30,500,10,11703,23.406,53,1.06,10,150,3,0,0,0
top_agent,"(10, 10)",70,3,0,3,5302,10.604,106.04,1507,30.14,500,10,10838,21.676,51,1.02,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",70,3,0,3,4399,8.798,87.98,1512,30.24,500,10,11188,22.376,57,1.14,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,3439,6.878,68.78,1506,30.12,500,10,11370,22.74,54,1.08,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,3691,7.382,73.82,1508,30.16,500,10,11713,23.426,52,1.04,10,150,3,0,0,0
top_agent,"(10, 10)",70,5,0,5,1912,3.824,38.24,1523,30.46,500,10,11450,22.9,52,1.04,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,5,0,5,1875,3.75,37.5,1524,30.48,500,10,11613,23.226,57,1.14,10,150,3,0,0,0
top_agent,"(10, 10)",70,10,1,9,2699,5.398,53.98,1500,30,500,10,12089,24.178,56,1.12,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,10,1,9,2541,5.082,50.82,1516,30.32,500,10,10181,20.362,49,0.98,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,3426,6.852,68.52,1525,30.5,500,10,13277,26.554,65,1.3,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,3238,6.476,64.76,1508,30.16,500,10,12069,24.138,48,0.96,10,150,3,0,0,0
top_agent,"(10, 10)",70,10,1,9,3540,7.08,70.8,1507,30.14,500,10,10503,21.006,46,0.92,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,10,1,9,3677,7.354,73.54,1507,30.14,500,10,8937,17.874,43,0.86,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,4010,8.02,80.2,1500,30,500,10,7300,14.6,29,0.58,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,4389,8.778,87.78,1508,30.16,500,10,11068,22.136,54,1.08,10,150,3,0,0,0
top_agent,"(10, 10)",70,18,0,18,2686,5.372,53.72,1510,30.2,500,10,13620,27.24,57,1.14,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,18,0,18,2861,5.722,57.22,1509,30.18,500,10,12413,24.826,54,1.08,10,150,3,0,0,0
top_agent,"(10, 10)",70,14,0,14,3322,6.644,66.44,1509,30.18,500,10,12238,24.476,52,1.04,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",70,14,0,14,3165,6.33,63.3,1500,30,500,10,11704,23.408,51,1.02,10,150,3,0,0,0
top_agent,"(10, 10)",70,4,0,4,3523,7.046,70.46,1513,30.26,500,10,8970,17.94,37,0.74,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,4,0,4,3662,7.324,73.24,1510,30.2,500,10,13611,27.222,63,1.26,10,150,3,0,0,0
top_agent,"(10, 10)",70,9,0,9,3626,7.252,72.52,1507,30.14,500,10,14631,29.262,64,1.28,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,9,0,9,3470,6.94,69.4,1512,30.24,500,10,10510,21.02,49,0.98,10,150,3,0,0,0
top_agent,"(10, 10)",70,5,0,5,2666,5.332,53.32,1507,30.14,500,10,11005,22.01,48,0.96,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,5,0,5,2726,5.452,54.52,1503,30.06,500,10,10513,21.026,43,0.86,10,150,3,3,0.06,1
top_agent,"(10, 10)",70,5,0,5,2567,5.134,51.34,1506,30.12,500,10,10182,20.364,43,0.86,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,5,0,5,2878,5.756,57.56,1506,30.12,500,10,10334,20.668,47,0.94,10,150,3,0,0,0
top_agent,"(10, 10)",70,5,1,4,3002,6.004,60.04,1504,30.08,500,10,10510,21.02,46,0.92,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,5,1,4,3401,6.802,68.02,1506,30.12,500,10,8613,17.226,41,0.82,10,150,3,0,0,0
top_agent,"(10, 10)",70,6,0,6,2625,5.25,52.5,1503,30.06,500,10,10858,21.716,48,0.96,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,6,0,6,2692,5.384,53.84,1512,30.24,500,10,11723,23.446,52,1.04,10,150,3,3,0.06,1
top_agent,"(10, 10)",70,1,0,1,4000,8,80,1503,30.06,500,10,9977,19.954,39,0.78,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",70,1,0,1,4545,9.09,90.9,1500,30,500,10,9990,19.98,42,0.84,10,150,3,0,0,0
top_agent,"(10, 10)",70,13,3,10,3580,7.217741935,71.6,1495,29.9,496,9.92,9846,19.85080645,42,0.84,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,13,3,10,3586,7.172,71.72,1507,30.14,500,10,12225,24.45,52,1.04,10,150,3,0,0,0
top_agent,"(10, 10)",70,6,0,6,2056,4.112,41.12,1503,30.06,500,10,10212,20.424,43,0.86,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,6,0,6,1950,3.9,39,1510,30.2,500,10,10396,20.792,44,0.88,10,150,3,0,0,0
top_agent,"(10, 10)",70,2,0,2,3633,7.266,72.66,1509,30.18,500,10,12424,24.848,55,1.1,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,2,0,2,3817,7.634,76.34,1510,30.2,500,10,12747,25.494,57,1.14,10,150,3,0,0,0
top_agent,"(10, 10)",70,3,0,3,5125,10.25,102.5,1506,30.12,500,10,12404,24.808,54,1.08,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,3,0,3,5142,10.284,102.84,1502,30.04,500,10,11535,23.07,51,1.02,10,150,3,0,0,0
top_agent,"(10, 10)",70,1,0,1,2562,5.124,51.24,1508,30.16,500,10,11562,23.124,49,0.98,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,1,0,1,2410,4.82,48.2,1508,30.16,500,10,12242,24.484,53,1.06,10,150,3,0,0,0
top_agent,"(10, 10)",70,27,0,27,3557,7.114,71.14,1508,30.16,500,10,9288,18.576,43,0.86,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,27,0,27,3707,7.414,74.14,1511,30.22,500,10,9989,19.978,45,0.9,10,150,3,0,0,0
top_agent,"(10, 10)",70,1,0,1,3955,7.91,79.1,1507,30.14,500,10,10501,21.002,46,0.92,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,1,0,1,3843,7.747983871,76.86,1494,29.88,496,9.92,10322,20.81048387,46,0.92,10,150,3,0,0,0
top_agent,"(10, 10)",70,11,2,9,2460,4.92,49.2,1504,30.08,500,10,9680,19.36,44,0.88,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,11,2,9,2482,4.964,49.64,1506,30.12,500,10,11902,23.804,55,1.1,10,150,3,0,0,0
top_agent,"(10, 10)",70,1,0,1,3301,6.602,66.02,1513,30.26,500,10,10030,20.06,46,0.92,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,1,0,1,3334,6.668,66.68,1501,30.02,500,10,11186,22.372,52,1.04,10,150,3,0,0,0
top_agent,"(10, 10)",70,4,0,4,2445,4.89,48.9,1508,30.16,500,10,14331,28.662,60,1.2,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,4,0,4,2356,4.712,47.12,1508,30.16,500,10,12601,25.202,63,1.26,10,150,3,0,0,0
top_agent,"(10, 10)",70,4,0,4,2809,5.618,56.18,1508,30.16,500,10,12067,24.134,53,1.06,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,4,0,4,2581,5.162,51.62,1503,30.06,500,10,10533,21.066,39,0.78,10,150,3,0,0,0
top_agent,"(10, 10)",70,1,0,1,3840,7.68,76.8,1501,30.02,500,10,13404,26.808,60,1.2,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,1,0,1,3739,7.478,74.78,1509,30.18,500,10,11191,22.382,50,1,10,150,3,0,0,0
top_agent,"(10, 10)",70,7,0,7,3194,6.388,63.88,1503,30.06,500,10,11202,22.404,48,0.96,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,7,0,7,2983,5.966,59.66,1516,30.32,500,10,12930,25.86,63,1.26,10,150,3,0,0,0
top_agent,"(10, 10)",70,3,0,3,4288,8.576,85.76,1500,30,500,10,9480,18.96,35,0.7,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,3,0,3,4627,9.254,92.54,1503,30.06,500,10,11704,23.408,50,1,10,150,3,0,0,0
top_agent,"(10, 10)",70,4,0,4,3522,7.044,70.44,1507,30.14,500,10,11359,22.718,53,1.06,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,4,0,4,3097,6.194,61.94,1501,30.02,500,10,9154,18.308,38,0.76,10,150,3,0,0,0
top_agent,"(10, 10)",70,0,0,0,3046,6.092,60.92,1502,30.04,500,10,10529,21.058,43,0.86,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,0,0,0,3332,6.664,66.64,1507,30.14,500,10,11914,23.828,44,0.88,10,150,3,0,0,0
top_agent,"(10, 10)",70,3,0,3,2784,5.568,55.68,1514,30.28,500,10,11728,23.456,50,1,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,3,0,3,2597,5.194,51.94,1508,30.16,500,10,10710,21.42,42,0.84,10,150,3,0,0,0
top_agent,"(10, 10)",70,8,0,8,3931,7.862,78.62,1504,30.08,500,10,11377,22.754,51,1.02,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,8,0,8,3621,7.242,72.42,1507,30.14,500,10,10000,20,50,1,10,150,3,0,0,0
top_agent,"(10, 10)",70,9,0,9,3443,6.886,68.86,1508,30.16,500,10,12058,24.116,53,1.06,10,150,3,0,0,0
bottom_agent,"(10, 10)",70,9,0,9,3432,6.864,68.64,1507,30.14,500,10,11204,22.408,48,0.96,10,150,3,0,0,0
top_agent,"(10, 10)",70,7,0,7,4306,8.612,86.12,1503,30.06,500,10,14085,28.17,66,1.32,10,150,3,0,0,0
