Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Avg No. of Shuffles/Deadlocks Occurred per game,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per config,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per game,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move
bottom_agent,"(5, 5)",4,8,7,1,0,0,0,3287,65.74,500,10,4095,8.19,396,7.92,10,150,3,71,1.42,19
top_agent,"(5, 5)",4,3,2,1,0,0,0,3178,63.56,500,10,3190,6.38,403,8.06,10,150,3,101,2.02,28
bottom_agent,"(5, 5)",4,3,2,1,0,0,0,3726,74.52,500,10,3600,7.2,507,10.14,10,150,3,278,5.56,73
top_agent,"(5, 5)",4,5,4,1,0,0,0,2642,52.84,500,10,3828,7.656,281,5.62,10,150,3,32,0.64,10
bottom_agent,"(5, 5)",4,5,4,1,0,0,0,3197,63.94,500,10,3299,6.598,413,8.26,10,150,3,104,2.08,32
top_agent,"(5, 5)",4,3,2,1,0,0,0,3002,60.04,500,10,3977,7.954,349,6.98,10,150,3,49,0.98,16
bottom_agent,"(5, 5)",4,3,2,1,0,0,0,3453,69.06,500,10,3716,7.432,469,9.38,10,150,3,319,6.38,84
top_agent,"(5, 5)",4,0,0,0,0,0,0,3377,67.54,500,10,3906,7.812,392,7.84,10,150,3,220,4.4,47
bottom_agent,"(5, 5)",4,0,0,0,1,0.002,0.02,3610,72.2,500,10,3409,6.818,417,8.34,10,450,9,142,2.84,41
top_agent,"(5, 5)",4,3,2,1,0,0,0,3112,62.24,500,10,3808,7.616,350,7,10,150,3,30,0.6,9
bottom_agent,"(5, 5)",4,3,2,1,0,0,0,3471,69.42,500,10,3848,7.696,466,9.32,10,150,3,58,1.16,18
top_agent,"(5, 5)",4,25,24,1,0,0,0,3041,60.82,500,10,3586,7.172,367,7.34,10,150,3,205,4.1,54
bottom_agent,"(5, 5)",4,25,24,1,0,0,0,3248,64.96,500,10,3556,7.112,413,8.26,10,150,3,63,1.26,18
top_agent,"(5, 5)",4,12,11,1,1,0.002,0.02,2654,53.08,500,10,3668,7.336,268,5.36,10,150,3,26,0.52,8
bottom_agent,"(5, 5)",4,12,11,1,0,0,0,3647,72.94,500,10,3941,7.882,476,9.52,10,150,3,221,4.42,55
top_agent,"(5, 5)",4,6,5,1,0,0,0,3157,63.14,500,10,3222,6.444,390,7.8,10,150,3,270,5.4,71
bottom_agent,"(5, 5)",4,6,5,1,2,0.004,0.04,3431,68.62,500,10,3322,6.644,459,9.18,10,150,3,48,0.96,14
top_agent,"(5, 5)",4,4,3,1,1,0.002,0.02,2971,59.42,500,10,4101,8.202,350,7,10,150,3,100,2,27
bottom_agent,"(5, 5)",4,4,3,1,0,0,0,3281,65.62,500,10,3941,7.882,386,7.72,10,150,3,68,1.36,22
top_agent,"(5, 5)",4,6,5,1,0,0,0,2947,58.94,500,10,3954,7.908,330,6.6,10,150,3,26,0.52,8
bottom_agent,"(5, 5)",4,6,5,1,0,0,0,3360,67.2,500,10,3497,6.994,413,8.26,10,200,4,158,3.16,39
top_agent,"(5, 5)",4,11,10,1,0,0,0,2709,54.18,500,10,3974,7.948,288,5.76,10,150,3,63,1.26,20
bottom_agent,"(5, 5)",4,11,10,1,1,0.002,0.02,3090,61.8,500,10,3919,7.838,384,7.68,10,150,3,206,4.12,56
top_agent,"(5, 5)",4,3,2,1,0,0,0,3389,67.78,500,10,3650,7.3,451,9.02,10,150,3,395,7.9,93
bottom_agent,"(5, 5)",4,3,2,1,0,0,0,3572,71.44,500,10,3542,7.084,476,9.52,10,150,3,270,5.4,68
top_agent,"(5, 5)",4,1,0,1,0,0,0,3057,61.14,500,10,3802,7.604,371,7.42,10,150,3,212,4.24,53
bottom_agent,"(5, 5)",4,1,0,1,0,0,0,3271,65.42,500,10,3941,7.882,383,7.66,10,150,3,18,0.36,6
top_agent,"(5, 5)",4,1,0,1,0,0,0,3213,64.26,500,10,3948,7.896,334,6.68,10,400,8,193,3.86,46
bottom_agent,"(5, 5)",4,1,0,1,0,0,0,3553,71.06,500,10,3812,7.624,478,9.56,10,150,3,142,2.84,38
top_agent,"(5, 5)",4,1,0,1,0,0,0,3053,61.06,500,10,3671,7.342,364,7.28,10,150,3,120,2.4,36
bottom_agent,"(5, 5)",4,1,0,1,0,0,0,3302,66.04,500,10,3450,6.9,420,8.4,10,150,3,15,0.3,5
top_agent,"(5, 5)",4,4,3,1,0,0,0,2808,56.16,500,10,3268,6.536,320,6.4,10,150,3,54,1.08,17
bottom_agent,"(5, 5)",4,4,3,1,1,0.002,0.02,3021,60.42,500,10,3645,7.29,360,7.2,10,150,3,6,0.12,2
top_agent,"(5, 5)",4,15,14,1,0,0,0,2794,55.88,500,10,4147,8.294,308,6.16,10,150,3,71,1.42,21
bottom_agent,"(5, 5)",4,15,14,1,1,0.002,0.02,3801,76.02,500,10,3624,7.248,533,10.66,10,150,3,362,7.24,83
top_agent,"(5, 5)",4,1,0,1,0,0,0,3080,61.6,500,10,3782,7.564,384,7.68,10,150,3,237,4.74,63
bottom_agent,"(5, 5)",4,1,0,1,1,0.002,0.02,3551,71.02,500,10,3383,6.766,497,9.94,10,150,3,396,7.92,108
top_agent,"(5, 5)",4,13,12,1,1,0.002,0.02,2817,56.34,500,10,3683,7.366,299,5.98,10,150,3,10,0.2,3
bottom_agent,"(5, 5)",4,13,12,1,1,0.002,0.02,3253,65.06,500,10,3526,7.052,406,8.12,10,150,3,158,3.16,43
top_agent,"(5, 5)",4,1,0,1,1,0.002,0.02,2981,59.62,500,10,3690,7.38,372,7.44,10,150,3,78,1.56,24
bottom_agent,"(5, 5)",4,1,0,1,0,0,0,3529,70.58,500,10,3731,7.462,454,9.08,10,150,3,96,1.92,25
top_agent,"(5, 5)",4,2,1,1,0,0,0,3126,62.52,500,10,3655,7.31,370,7.4,10,150,3,121,2.42,33
bottom_agent,"(5, 5)",4,2,1,1,0,0,0,3889,77.78,500,10,3670,7.34,514,10.28,10,300,6,402,8.04,96
top_agent,"(5, 5)",4,10,9,1,0,0,0,2975,59.5,500,10,4001,8.002,335,6.7,10,150,3,16,0.32,5
bottom_agent,"(5, 5)",4,10,9,1,0,0,0,3705,74.1,500,10,3969,7.938,448,8.96,10,150,3,91,1.82,28
top_agent,"(5, 5)",4,5,4,1,0,0,0,2976,59.52,500,10,3665,7.33,359,7.18,10,150,3,124,2.48,33
bottom_agent,"(5, 5)",4,5,4,1,1,0.002,0.02,3835,76.7,500,10,3539,7.078,505,10.1,10,150,3,28,0.56,9
top_agent,"(5, 5)",4,6,5,1,0,0,0,2996,59.92,500,10,3638,7.276,352,7.04,10,150,3,104,2.08,32
bottom_agent,"(5, 5)",4,6,5,1,2,0.004,0.04,3662,73.24,500,10,3635,7.27,519,10.38,10,150,3,297,5.94,83
top_agent,"(5, 5)",4,18,17,1,0,0,0,3026,60.52,500,10,3793,7.586,362,7.24,10,150,3,91,1.82,25
bottom_agent,"(5, 5)",4,18,17,1,1,0.002,0.02,3649,72.98,500,10,3632,7.264,490,9.8,10,150,3,105,2.1,34
top_agent,"(5, 5)",4,10,9,1,0,0,0,3063,61.26,500,10,4010,8.02,373,7.46,10,150,3,174,3.48,49
bottom_agent,"(5, 5)",4,10,9,1,0,0,0,3279,65.58,500,10,3698,7.396,417,8.34,10,150,3,20,0.4,6
top_agent,"(5, 5)",4,14,13,1,0,0,0,3160,63.2,500,10,3787,7.574,344,6.88,10,300,6,225,4.5,52
bottom_agent,"(5, 5)",4,14,13,1,0,0,0,3615,72.3,500,10,3716,7.432,500,10,10,150,3,175,3.5,53
top_agent,"(5, 5)",4,2,1,1,0,0,0,3027,60.54,500,10,3657,7.314,350,7,10,150,3,134,2.68,39
bottom_agent,"(5, 5)",4,2,1,1,0,0,0,3631,72.62,500,10,3541,7.082,447,8.94,10,250,5,118,2.36,34
top_agent,"(5, 5)",4,5,4,1,0,0,0,3114,62.28,500,10,4004,8.008,379,7.58,10,150,3,121,2.42,33
bottom_agent,"(5, 5)",4,5,4,1,1,0.002,0.02,3747,74.94,500,10,3656,7.312,490,9.8,10,150,3,578,11.56,106
top_agent,"(5, 5)",4,16,15,1,0,0,0,3367,67.34,500,10,3736,7.472,397,7.94,10,150,3,26,0.52,8
bottom_agent,"(5, 5)",4,16,15,1,0,0,0,3410,68.2,500,10,3610,7.22,439,8.78,10,150,3,7,0.14,2
top_agent,"(5, 5)",4,3,2,1,0,0,0,3097,61.94,500,10,3478,6.956,370,7.4,10,150,3,213,4.26,53
bottom_agent,"(5, 5)",4,3,2,1,0,0,0,3762,75.24,500,10,3689,7.378,501,10.02,10,200,4,225,4.5,52
top_agent,"(5, 5)",4,7,6,1,0,0,0,2901,58.02,500,10,3761,7.522,311,6.22,10,200,4,104,2.08,28
bottom_agent,"(5, 5)",4,7,6,1,0,0,0,3602,72.04,500,10,4270,8.54,428,8.56,10,150,3,30,0.6,9
top_agent,"(5, 5)",4,0,0,0,0,0,0,2747,54.94,500,10,3489,6.978,302,6.04,10,150,3,89,1.78,26
bottom_agent,"(5, 5)",4,0,0,0,0,0,0,3600,72,500,10,3897,7.794,445,8.9,10,150,3,88,1.76,24
top_agent,"(5, 5)",4,1,0,1,0,0,0,2772,55.44,500,10,3189,6.378,314,6.28,10,150,3,12,0.24,4
bottom_agent,"(5, 5)",4,1,0,1,1,0.002,0.02,3590,71.8,500,10,3604,7.208,494,9.88,10,150,3,266,5.32,70
top_agent,"(5, 5)",4,19,18,1,0,0,0,3083,61.66,500,10,3628,7.256,368,7.36,10,150,3,110,2.2,29
bottom_agent,"(5, 5)",4,19,18,1,0,0,0,3547,70.94,500,10,3813,7.626,470,9.4,10,150,3,295,5.9,72
top_agent,"(5, 5)",4,3,2,1,0,0,0,3032,60.64,500,10,3878,7.756,351,7.02,10,150,3,65,1.3,20
bottom_agent,"(5, 5)",4,3,2,1,0,0,0,3335,66.7,500,10,3531,7.062,406,8.12,10,150,3,36,0.72,11
top_agent,"(5, 5)",4,2,1,1,0,0,0,2751,55.02,500,10,3569,7.138,321,6.42,10,150,3,112,2.24,35
bottom_agent,"(5, 5)",4,2,1,1,0,0,0,3476,69.52,500,10,3416,6.832,448,8.96,10,150,3,12,0.24,4
top_agent,"(5, 5)",4,0,0,0,0,0,0,2470,49.4,500,10,3572,7.144,230,4.6,10,150,3,12,0.24,4
bottom_agent,"(5, 5)",4,0,0,0,0,0,0,3304,66.08,500,10,3951,7.902,428,8.56,10,150,3,116,2.32,33
top_agent,"(5, 5)",4,2,1,1,1,0.002,0.02,3011,60.22,500,10,3488,6.976,372,7.44,10,150,3,200,4,57
bottom_agent,"(5, 5)",4,2,1,1,0,0,0,3791,75.82,500,10,3469,6.938,521,10.42,10,150,3,335,6.7,82
top_agent,"(5, 5)",4,3,2,1,0,0,0,2702,54.04,500,10,3104,6.208,287,5.74,10,150,3,58,1.16,18
bottom_agent,"(5, 5)",4,3,2,1,0,0,0,3375,67.5,500,10,3601,7.202,440,8.8,10,150,3,186,3.72,45
top_agent,"(5, 5)",4,9,8,1,0,0,0,2854,57.08,500,10,3323,6.646,318,6.36,10,150,3,37,0.74,12
bottom_agent,"(5, 5)",4,9,8,1,0,0,0,3322,66.44,500,10,3307,6.614,423,8.46,10,150,3,77,1.54,24
top_agent,"(5, 5)",4,0,0,0,0,0,0,2621,52.42,500,10,3475,6.95,275,5.5,10,150,3,56,1.12,18
bottom_agent,"(5, 5)",4,0,0,0,0,0,0,3153,63.06,500,10,3909,7.818,391,7.82,10,150,3,16,0.32,5
top_agent,"(5, 5)",4,1,0,1,0,0,0,2745,54.9,500,10,3727,7.454,271,5.42,10,150,3,49,0.98,15
bottom_agent,"(5, 5)",4,1,0,1,1,0.002,0.02,3312,66.24,500,10,3222,6.444,426,8.52,10,150,3,262,5.24,67
top_agent,"(5, 5)",4,5,4,1,0,0,0,3057,61.14,500,10,4075,8.15,322,6.44,10,300,6,133,2.66,38
bottom_agent,"(5, 5)",4,5,4,1,1,0.002,0.02,3451,69.02,500,10,3319,6.638,451,9.02,10,150,3,187,3.74,49
top_agent,"(5, 5)",4,1,0,1,0,0,0,3087,61.74,500,10,3200,6.4,381,7.62,10,150,3,117,2.34,30
bottom_agent,"(5, 5)",4,1,0,1,0,0,0,3483,69.66,500,10,3429,6.858,485,9.7,10,150,3,152,3.04,41
top_agent,"(5, 5)",4,1,0,1,0,0,0,2903,58.06,500,10,3391,6.782,309,6.18,10,200,4,37,0.74,12
bottom_agent,"(5, 5)",4,1,0,1,0,0,0,3519,70.38,500,10,3496,6.992,438,8.76,10,300,6,93,1.86,26
top_agent,"(5, 5)",4,8,7,1,0,0,0,3273,65.46,500,10,3736,7.472,420,8.4,10,150,3,139,2.78,38
bottom_agent,"(5, 5)",4,8,7,1,1,0.002,0.02,3564,71.28,500,10,3633,7.266,463,9.26,10,150,3,296,5.92,71
top_agent,"(5, 5)",4,14,13,1,0,0,0,3018,60.36,500,10,3857,7.714,346,6.92,10,150,3,21,0.42,7
bottom_agent,"(5, 5)",4,14,13,1,0,0,0,3359,67.18,500,10,3655,7.31,445,8.9,10,150,3,112,2.24,35
top_agent,"(5, 5)",4,1,0,1,1,0.002,0.02,2570,51.4,500,10,3365,6.73,269,5.38,10,150,3,6,0.12,2
bottom_agent,"(5, 5)",4,1,0,1,0,0,0,3493,69.86,500,10,4127,8.254,417,8.34,10,300,6,184,3.68,46
top_agent,"(5, 5)",4,2,1,1,0,0,0,2797,55.94,500,10,3560,7.12,313,6.26,10,150,3,124,2.48,33
bottom_agent,"(5, 5)",4,2,1,1,0,0,0,3270,65.4,500,10,3408,6.816,413,8.26,10,150,3,6,0.12,2
top_agent,"(5, 5)",4,7,6,1,0,0,0,2927,58.54,500,10,3275,6.55,327,6.54,10,150,3,69,1.38,17
bottom_agent,"(5, 5)",4,7,6,1,1,0.002,0.02,3589,71.78,500,10,3700,7.4,460,9.2,10,200,4,191,3.82,54
top_agent,"(5, 5)",4,3,2,1,0,0,0,2999,59.98,500,10,3283,6.566,359,7.18,10,150,3,89,1.78,25
bottom_agent,"(5, 5)",4,3,2,1,0,0,0,3620,72.4,500,10,3488,6.976,469,9.38,10,200,4,308,6.16,76
top_agent,"(5, 5)",4,6,5,1,1,0.002,0.02,3186,63.72,500,10,3675,7.35,397,7.94,10,150,3,49,0.98,14
bottom_agent,"(5, 5)",4,6,5,1,0,0,0,3219,64.38,500,10,3451,6.902,393,7.86,10,150,3,233,4.66,56
top_agent,"(5, 5)",4,1,0,1,1,0.002,0.02,3097,61.94,500,10,3584,7.168,370,7.4,10,150,3,134,2.68,38
bottom_agent,"(5, 5)",4,1,0,1,0,0,0,3491,69.82,500,10,3506,7.012,466,9.32,10,150,3,6,0.12,2
top_agent,"(5, 5)",4,8,7,1,0,0,0,3031,60.62,500,10,3450,6.9,358,7.16,10,150,3,161,3.22,44
bottom_agent,"(5, 5)",4,8,7,1,0,0,0,3036,60.72,500,10,3473,6.946,373,7.46,10,150,3,29,0.58,9
top_agent,"(5, 5)",4,1,0,1,3,0.006,0.06,2748,54.96,500,10,3211,6.422,304,6.08,10,150,3,84,1.68,24
bottom_agent,"(5, 5)",4,1,0,1,2,0.004,0.04,2910,58.2,500,10,3548,7.096,346,6.92,10,150,3,65,1.3,20
top_agent,"(5, 5)",4,27,26,1,0,0,0,2826,56.52,500,10,3469,6.938,309,6.18,10,150,3,43,0.86,14
bottom_agent,"(5, 5)",4,27,26,1,0,0,0,3388,67.76,500,10,3616,7.232,451,9.02,10,150,3,117,2.34,35
