Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves,Total No. of Avalanche Matches,Avg No. of Avalanche Matches,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move,Avg avalanche count after first move
top_agent,"(9, 9)",7,5,4,1,0,0,1889,37.78,500,10,5800,11.6,104,2.08,10,150,3,52,1.04,17,0.34
bottom_agent,"(9, 9)",7,5,4,1,5,0.01,2934,58.68,500,10,3967,7.934,352,7.04,10,150,3,554,11.08,157,3.14
top_agent,"(9, 9)",7,1,0,1,0,0,1782,35.64,500,10,3405,6.81,72,1.44,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",7,1,0,1,0,0,2405,48.1,500,10,4382,8.764,246,4.92,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",7,0,0,0,0,0,2188,43.76,500,10,4720,9.44,201,4.02,10,150,3,10,0.2,3,0.06
bottom_agent,"(9, 9)",7,0,0,0,1,0.002,2307,46.14,500,10,3240,6.48,199,3.98,10,150,3,199,3.98,56,1.12
top_agent,"(9, 9)",7,5,4,1,0,0,2075,41.5,500,10,6720,13.44,151,3.02,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",7,5,4,1,0,0,2441,48.82,500,10,4721,9.442,243,4.86,10,150,3,116,2.32,30,0.6
top_agent,"(9, 9)",7,1,0,1,0,0,1900,38,500,10,5215,10.43,113,2.26,10,150,3,10,0.2,3,0.06
bottom_agent,"(9, 9)",7,1,0,1,10,0.02,1847,36.94,500,10,3827,7.654,102,2.04,10,150,3,40,0.8,13,0.26
top_agent,"(9, 9)",7,10,9,1,0,0,2129,42.58,500,10,5275,10.55,166,3.32,10,150,3,29,0.58,9,0.18
bottom_agent,"(9, 9)",7,10,9,1,0,0,2399,47.98,500,10,4605,9.21,236,4.72,10,150,3,33,0.66,11,0.22
top_agent,"(9, 9)",7,8,7,1,0,0,2211,44.22,500,10,7946,15.892,178,3.56,10,150,3,69,1.38,22,0.44
bottom_agent,"(9, 9)",7,8,7,1,0,0,2303,46.06,500,10,5294,10.588,179,3.58,10,150,3,104,2.08,29,0.58
top_agent,"(9, 9)",7,2,1,1,0,0,1964,39.28,500,10,4736,9.472,114,2.28,10,150,3,49,0.98,10,0.2
bottom_agent,"(9, 9)",7,2,1,1,0,0,2144,42.88,500,10,4560,9.12,148,2.96,10,200,4,6,0.12,2,0.04
top_agent,"(9, 9)",7,18,17,1,0,0,2031,40.62,500,10,5380,10.76,156,3.12,10,150,3,180,3.6,59,1.18
bottom_agent,"(9, 9)",7,18,17,1,0,0,2503,50.06,500,10,6089,12.178,255,5.1,10,150,3,60,1.2,19,0.38
top_agent,"(9, 9)",7,2,1,1,0,0,1972,39.44,500,10,6904,13.808,131,2.62,10,150,3,33,0.66,11,0.22
bottom_agent,"(9, 9)",7,2,1,1,0,0,2842,56.84,500,10,6543,13.086,358,7.16,10,150,3,45,0.9,14,0.28
top_agent,"(9, 9)",7,1,0,1,0,0,1847,36.94,500,10,3164,6.328,103,2.06,10,150,3,36,0.72,12,0.24
