Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves,Total No. of Avalanche Matches,Avg No. of Avalanche Matches,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move,Avg avalanche count after first move
top_agent,"(9, 9)",10,2,1,1,7,0.014,1704,34.08,500,10,3215,6.43,63,1.26,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,2,1,1,50,0.1,1764,35.28,500,10,6525,13.05,86,1.72,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,2,1,1,4,0.008,1837,36.74,500,10,3432,6.864,103,2.06,10,150,3,172,3.44,52,1.04
bottom_agent,"(9, 9)",10,2,1,1,53,0.106,2015,40.3,500,10,6445,12.89,163,3.26,10,150,3,194,3.88,59,1.18
top_agent,"(9, 9)",10,2,1,1,6,0.012,1853,37.06,500,10,2495,4.99,64,1.28,10,150,3,27,0.54,9,0.18
bottom_agent,"(9, 9)",10,2,1,1,3,0.006,2046,40.92,500,10,2361,4.722,160,3.2,10,150,3,210,4.2,62,1.24
top_agent,"(9, 9)",10,2,1,1,2,0.004,1680,33.6,500,10,2436,4.872,55,1.1,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",10,2,1,1,49,0.098,1813,36.26,500,10,6438,12.876,94,1.88,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,0,0,0,5,0.01,1936,38.72,500,10,3225,6.45,110,2.2,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,0,0,0,18,0.036,2110,42.2,500,10,3597,7.194,164,3.28,10,200,4,195,3.9,54,1.08
top_agent,"(9, 9)",10,1,0,1,0,0,1847,36.94,500,10,4119,8.238,106,2.12,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",10,1,0,1,3,0.006,1872,37.44,500,10,3319,6.638,105,2.1,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,0,0,0,27,0.054,1692,33.84,500,10,4948,9.896,66,1.32,10,150,3,21,0.42,7,0.14
bottom_agent,"(9, 9)",10,0,0,0,41,0.082,1741,34.82,500,10,5500,11,78,1.56,10,150,3,9,0.18,3,0.06
top_agent,"(9, 9)",10,0,0,0,8,0.016,1770,35.4,500,10,2425,4.85,66,1.32,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",10,0,0,0,24,0.048,1908,38.16,500,10,3436,6.872,100,2,10,200,4,29,0.58,7,0.14
top_agent,"(9, 9)",10,4,3,1,0,0,1776,35.52,500,10,3161,6.322,71,1.42,10,150,3,24,0.48,8,0.16
bottom_agent,"(9, 9)",10,4,3,1,5,0.01,1963,39.26,500,10,4280,8.56,137,2.74,10,150,3,24,0.48,6,0.12
top_agent,"(9, 9)",10,0,0,0,10,0.02,1817,36.34,500,10,3537,7.074,87,1.74,10,150,3,9,0.18,3,0.06
bottom_agent,"(9, 9)",10,0,0,0,17,0.034,1770,35.4,500,10,3667,7.334,78,1.56,10,150,3,6,0.12,2,0.04
top_agent,"(9, 9)",10,1,0,1,5,0.01,1777,35.54,500,10,3783,7.566,56,1.12,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,1,0,1,14,0.028,1957,39.14,500,10,4078,8.156,108,2.16,10,200,4,3,0.06,1,0.02
top_agent,"(9, 9)",10,5,4,1,43,0.086,1764,35.28,500,10,6645,13.29,91,1.82,10,150,3,18,0.36,6,0.12
bottom_agent,"(9, 9)",10,5,4,1,18,0.036,1843,36.86,500,10,3567,7.134,103,2.06,10,150,3,39,0.78,11,0.22
top_agent,"(9, 9)",10,4,3,1,0,0,1838,36.76,500,10,3542,7.084,99,1.98,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,4,3,1,2,0.004,1806,36.12,500,10,2927,5.854,72,1.44,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,2,1,1,35,0.07,1890,37.8,500,10,5753,11.506,126,2.52,10,150,3,165,3.3,50,1
bottom_agent,"(9, 9)",10,2,1,1,53,0.106,1923,38.46,500,10,6477,12.954,136,2.72,10,150,3,0,0,0,0
top_agent,"(9, 9)",10,1,0,1,43,0.086,1896,37.92,500,10,5672,11.344,107,2.14,10,150,3,39,0.78,13,0.26
bottom_agent,"(9, 9)",10,1,0,1,55,0.11,1832,36.64,500,10,5818,11.636,115,2.3,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,1,0,1,0,0,1770,35.4,500,10,3328,6.656,80,1.6,10,150,3,9,0.18,3,0.06
bottom_agent,"(9, 9)",10,1,0,1,0,0,1893,37.86,500,10,3020,6.04,117,2.34,10,150,3,15,0.3,5,0.1
top_agent,"(9, 9)",10,1,0,1,25,0.05,1723,34.46,500,10,5275,10.55,64,1.28,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,1,0,1,32,0.064,1843,36.86,500,10,4574,9.148,108,2.16,10,150,3,39,0.78,12,0.24
top_agent,"(9, 9)",10,4,3,1,15,0.03,1649,32.98,500,10,3704,7.408,45,0.9,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,4,3,1,48,0.096,1962,39.24,500,10,6818,13.636,143,2.86,10,150,3,30,0.6,10,0.2
top_agent,"(9, 9)",10,0,0,0,28,0.056,1701,34.02,500,10,5023,10.046,63,1.26,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,0,0,0,6,0.012,1702,34.04,500,10,3122,6.244,61,1.22,10,150,3,9,0.18,3,0.06
top_agent,"(9, 9)",10,2,1,1,0,0,1676,33.52,500,10,3923,7.846,55,1.1,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,2,1,1,0,0,1857,37.14,500,10,2786,5.572,110,2.2,10,150,3,21,0.42,7,0.14
top_agent,"(9, 9)",10,2,1,1,69,0.138,1861,37.22,500,10,9158,18.316,118,2.36,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,2,1,1,66,0.132,1816,36.32,500,10,8154,16.308,107,2.14,10,150,3,0,0,0,0
top_agent,"(9, 9)",10,1,0,1,18,0.036,2021,40.42,500,10,4204,8.408,132,2.64,10,150,3,17,0.34,5,0.1
bottom_agent,"(9, 9)",10,1,0,1,24,0.048,2100,42,500,10,5038,10.076,184,3.68,10,150,3,159,3.18,51,1.02
top_agent,"(9, 9)",10,2,1,1,4,0.008,1764,35.28,500,10,2549,5.098,80,1.6,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,2,1,1,25,0.05,2308,46.16,500,10,3951,7.902,244,4.88,10,150,3,354,7.08,112,2.24
top_agent,"(9, 9)",10,4,3,1,59,0.118,1868,37.36,500,10,7615,15.23,106,2.12,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,4,3,1,56,0.112,1801,36.02,500,10,7416,14.832,99,1.98,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,0,0,0,4,0.008,1819,36.38,500,10,2810,5.62,98,1.96,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",10,0,0,0,19,0.038,1877,37.54,500,10,3822,7.644,121,2.42,10,150,3,65,1.3,21,0.42
top_agent,"(9, 9)",10,7,6,1,39,0.078,1734,34.68,500,10,5582,11.164,68,1.36,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,7,6,1,13,0.026,1660,33.2,500,10,3374,6.748,48,0.96,10,150,3,0,0,0,0
top_agent,"(9, 9)",10,3,2,1,56,0.112,1819,36.38,500,10,6921,13.842,94,1.88,10,150,3,14,0.28,4,0.08
bottom_agent,"(9, 9)",10,3,2,1,65,0.13,1832,36.64,500,10,8095,16.19,114,2.28,10,150,3,4,0.08,1,0.02
top_agent,"(9, 9)",10,1,0,1,2,0.004,1692,33.84,500,10,2501,5.002,61,1.22,10,150,3,30,0.6,10,0.2
bottom_agent,"(9, 9)",10,1,0,1,1,0.002,1876,37.52,500,10,2928,5.856,65,1.3,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,2,1,1,5,0.01,1698,33.96,500,10,2069,4.138,59,1.18,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,2,1,1,7,0.014,1761,35.22,500,10,2644,5.288,70,1.4,10,150,3,17,0.34,5,0.1
top_agent,"(9, 9)",10,5,4,1,0,0,1700,34,500,10,2051,4.102,61,1.22,10,150,3,24,0.48,8,0.16
bottom_agent,"(9, 9)",10,5,4,1,0,0,1667,33.34,500,10,2417,4.834,52,1.04,10,150,3,15,0.3,5,0.1
top_agent,"(9, 9)",10,2,1,1,19,0.038,1788,35.76,500,10,4224,8.448,97,1.94,10,150,3,36,0.72,11,0.22
bottom_agent,"(9, 9)",10,2,1,1,29,0.058,1909,38.18,500,10,4537,9.074,128,2.56,10,150,3,15,0.3,5,0.1
top_agent,"(9, 9)",10,2,1,1,0,0,1695,33.9,500,10,3199,6.398,60,1.2,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",10,2,1,1,4,0.008,1797,35.94,500,10,3126,6.252,67,1.34,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,0,0,0,19,0.038,1728,34.56,500,10,3891,7.782,77,1.54,10,150,3,9,0.18,3,0.06
bottom_agent,"(9, 9)",10,0,0,0,34,0.068,1822,36.44,500,10,4821,9.642,99,1.98,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,4,3,1,24,0.048,1802,36.04,500,10,4711,9.422,94,1.88,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,4,3,1,33,0.066,1892,37.84,500,10,5190,10.38,124,2.48,10,150,3,0,0,0,0
top_agent,"(9, 9)",10,7,6,1,8,0.016,1739,34.78,500,10,2696,5.392,77,1.54,10,150,3,24,0.48,8,0.16
bottom_agent,"(9, 9)",10,7,6,1,16,0.032,1844,36.88,500,10,4359,8.718,111,2.22,10,150,3,9,0.18,3,0.06
top_agent,"(9, 9)",10,0,0,0,31,0.062,1749,34.98,500,10,4264,8.528,74,1.48,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,0,0,0,29,0.058,1757,35.14,500,10,4440,8.88,79,1.58,10,150,3,39,0.78,13,0.26
top_agent,"(9, 9)",10,3,2,1,16,0.032,1882,37.64,500,10,3554,7.108,89,1.78,10,150,3,9,0.18,3,0.06
bottom_agent,"(9, 9)",10,3,2,1,24,0.048,1877,37.54,500,10,4660,9.32,117,2.34,10,150,3,24,0.48,8,0.16
top_agent,"(9, 9)",10,0,0,0,57,0.114,1918,38.36,500,10,6709,13.418,139,2.78,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,0,0,0,58,0.116,1968,39.36,500,10,6800,13.6,147,2.94,10,150,3,171,3.42,54,1.08
top_agent,"(9, 9)",10,0,0,0,40,0.08,1802,36.04,500,10,6341,12.682,103,2.06,10,150,3,24,0.48,8,0.16
bottom_agent,"(9, 9)",10,0,0,0,6,0.012,1751,35.02,500,10,2809,5.618,80,1.6,10,150,3,0,0,0,0
top_agent,"(9, 9)",10,1,0,1,52,0.104,1745,34.9,500,10,6136,12.272,81,1.62,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,1,0,1,56,0.112,1844,36.88,500,10,6879,13.758,104,2.08,10,150,3,0,0,0,0
top_agent,"(9, 9)",10,1,0,1,1,0.002,1685,33.7,500,10,2654,5.308,52,1.04,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",10,1,0,1,2,0.004,2210,44.2,500,10,3240,6.48,201,4.02,10,150,3,228,4.56,61,1.22
top_agent,"(9, 9)",10,0,0,0,6,0.012,1658,33.16,500,10,2774,5.548,48,0.96,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,0,0,0,44,0.088,1752,35.04,500,10,5896,11.792,80,1.6,10,150,3,15,0.3,5,0.1
top_agent,"(9, 9)",10,5,4,1,20,0.04,1994,39.88,500,10,3220,6.44,133,2.66,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,5,4,1,28,0.056,1884,37.68,500,10,4634,9.268,101,2.02,10,200,4,0,0,0,0
top_agent,"(9, 9)",10,0,0,0,12,0.024,1743,34.86,500,10,2863,5.726,80,1.6,10,150,3,24,0.48,8,0.16
bottom_agent,"(9, 9)",10,0,0,0,12,0.024,1750,35,500,10,3155,6.31,80,1.6,10,150,3,18,0.36,6,0.12
top_agent,"(9, 9)",10,0,0,0,14,0.028,2129,42.58,500,10,3677,7.354,188,3.76,10,150,3,192,3.84,60,1.2
bottom_agent,"(9, 9)",10,0,0,0,14,0.028,2324,46.48,500,10,3365,6.73,244,4.88,10,150,3,201,4.02,63,1.26
top_agent,"(9, 9)",10,0,0,0,5,0.01,1803,36.06,500,10,3440,6.88,83,1.66,10,150,3,56,1.12,11,0.22
bottom_agent,"(9, 9)",10,0,0,0,22,0.044,1859,37.18,500,10,4752,9.504,108,2.16,10,150,3,12,0.24,4,0.08
top_agent,"(9, 9)",10,0,0,0,14,0.028,1725,34.5,500,10,2916,5.832,67,1.34,10,150,3,36,0.72,12,0.24
bottom_agent,"(9, 9)",10,0,0,0,33,0.066,1821,36.42,500,10,5200,10.4,101,2.02,10,150,3,12,0.24,4,0.08
top_agent,"(9, 9)",10,0,0,0,24,0.048,1737,34.74,500,10,3722,7.444,70,1.4,10,150,3,12,0.24,4,0.08
bottom_agent,"(9, 9)",10,0,0,0,24,0.048,1691,33.82,500,10,4333,8.666,61,1.22,10,150,3,12,0.24,4,0.08
top_agent,"(9, 9)",10,4,3,1,23,0.046,1680,33.6,500,10,3873,7.746,51,1.02,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",10,4,3,1,23,0.046,1759,35.18,500,10,4054,8.108,77,1.54,10,150,3,0,0,0,0
top_agent,"(9, 9)",10,0,0,0,41,0.082,1777,35.54,500,10,5382,10.764,98,1.96,10,150,3,18,0.36,6,0.12
bottom_agent,"(9, 9)",10,0,0,0,54,0.108,1856,37.12,500,10,6802,13.604,114,2.28,10,150,3,6,0.12,2,0.04
top_agent,"(9, 9)",10,9,8,1,7,0.014,1724,34.48,500,10,4422,8.844,68,1.36,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,9,8,1,24,0.048,1916,38.32,500,10,4242,8.484,121,2.42,10,150,3,170,3.4,50,1
top_agent,"(9, 9)",10,3,2,1,0,0,1676,33.52,500,10,3025,6.05,48,0.96,10,150,3,15,0.3,5,0.1
bottom_agent,"(9, 9)",10,3,2,1,6,0.012,1707,34.14,500,10,2621,5.242,59,1.18,10,150,3,4,0.08,1,0.02
top_agent,"(9, 9)",10,0,0,0,53,0.106,1793,35.86,500,10,6684,13.368,96,1.92,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,0,0,0,56,0.112,1742,34.84,500,10,7450,14.9,86,1.72,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,9,8,1,52,0.104,1766,35.32,500,10,6820,13.64,86,1.72,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,9,8,1,56,0.112,1763,35.26,500,10,6364,12.728,85,1.7,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,2,1,1,0,0,1749,34.98,500,10,3761,7.522,76,1.52,10,150,3,16,0.32,5,0.1
bottom_agent,"(9, 9)",10,2,1,1,19,0.038,1733,34.66,500,10,4123,8.246,64,1.28,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,2,1,1,46,0.092,1748,34.96,500,10,5444,10.888,84,1.68,10,150,3,12,0.24,4,0.08
bottom_agent,"(9, 9)",10,2,1,1,56,0.112,1792,35.84,500,10,6363,12.726,89,1.78,10,150,3,0,0,0,0
top_agent,"(9, 9)",10,4,3,1,0,0,1686,33.72,500,10,4032,8.064,50,1,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,4,3,1,0,0,2264,45.28,500,10,4260,8.52,226,4.52,10,150,3,6,0.12,2,0.04
top_agent,"(9, 9)",10,8,7,1,14,0.028,1616,32.32,500,10,2550,5.1,37,0.74,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,8,7,1,26,0.052,1662,33.24,500,10,3541,7.082,54,1.08,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,3,2,1,59,0.118,1854,37.08,500,10,7348,14.696,106,2.12,10,150,3,9,0.18,3,0.06
bottom_agent,"(9, 9)",10,3,2,1,57,0.114,1854,37.08,500,10,7330,14.66,109,2.18,10,150,3,0,0,0,0
top_agent,"(9, 9)",10,3,2,1,11,0.022,2092,41.84,500,10,4376,8.752,148,2.96,10,150,3,18,0.36,6,0.12
bottom_agent,"(9, 9)",10,3,2,1,19,0.038,2337,46.74,500,10,4828,9.656,250,5,10,150,3,523,10.46,158,3.16
top_agent,"(9, 9)",10,0,0,0,11,0.022,2035,40.7,500,10,3626,7.252,163,3.26,10,150,3,344,6.88,106,2.12
bottom_agent,"(9, 9)",10,0,0,0,12,0.024,1887,37.74,500,10,3633,7.266,118,2.36,10,150,3,9,0.18,3,0.06
top_agent,"(9, 9)",10,2,1,1,7,0.014,1650,33,500,10,3641,7.282,42,0.84,10,150,3,9,0.18,3,0.06
bottom_agent,"(9, 9)",10,2,1,1,12,0.024,2088,41.76,500,10,3699,7.398,164,3.28,10,150,3,24,0.48,8,0.16
top_agent,"(9, 9)",10,0,0,0,21,0.042,1992,39.84,500,10,3620,7.24,103,2.06,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,0,0,0,16,0.032,1913,38.26,500,10,3685,7.37,82,1.64,10,150,3,21,0.42,7,0.14
top_agent,"(9, 9)",10,4,3,1,6,0.012,1796,35.92,500,10,2349,4.698,92,1.84,10,150,3,18,0.36,6,0.12
bottom_agent,"(9, 9)",10,4,3,1,11,0.022,1851,37.02,500,10,2978,5.956,98,1.96,10,150,3,6,0.12,2,0.04
top_agent,"(9, 9)",10,3,2,1,16,0.032,1707,34.14,500,10,3861,7.722,70,1.4,10,150,3,48,0.96,16,0.32
bottom_agent,"(9, 9)",10,3,2,1,11,0.022,1725,34.5,500,10,3344,6.688,66,1.32,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,0,0,0,46,0.092,1837,36.74,500,10,5573,11.146,110,2.2,10,150,3,74,1.48,24,0.48
bottom_agent,"(9, 9)",10,0,0,0,44,0.088,1884,37.68,500,10,5653,11.306,124,2.48,10,150,3,39,0.78,13,0.26
top_agent,"(9, 9)",10,4,3,1,3,0.006,1650,33,500,10,2670,5.34,44,0.88,10,150,3,21,0.42,7,0.14
bottom_agent,"(9, 9)",10,4,3,1,8,0.016,1837,36.74,500,10,2540,5.08,88,1.76,10,150,3,15,0.3,5,0.1
top_agent,"(9, 9)",10,4,3,1,23,0.046,1822,36.44,500,10,3164,6.328,105,2.1,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",10,4,3,1,36,0.072,1874,37.48,500,10,4477,8.954,118,2.36,10,150,3,9,0.18,3,0.06
top_agent,"(9, 9)",10,0,0,0,6,0.012,1709,34.18,500,10,3141,6.282,61,1.22,10,150,3,12,0.24,4,0.08
bottom_agent,"(9, 9)",10,0,0,0,9,0.018,1941,38.82,500,10,3299,6.598,119,2.38,10,150,3,260,5.2,68,1.36
top_agent,"(9, 9)",10,0,0,0,28,0.056,1737,34.74,500,10,3996,7.992,76,1.52,10,150,3,18,0.36,6,0.12
bottom_agent,"(9, 9)",10,0,0,0,30,0.06,2149,42.98,500,10,4459,8.918,205,4.1,10,150,3,25,0.5,7,0.14
top_agent,"(9, 9)",10,2,1,1,26,0.052,1711,34.22,500,10,4272,8.544,62,1.24,10,150,3,9,0.18,3,0.06
bottom_agent,"(9, 9)",10,2,1,1,41,0.082,1964,39.28,500,10,5514,11.028,146,2.92,10,150,3,36,0.72,11,0.22
top_agent,"(9, 9)",10,1,0,1,16,0.032,1757,35.14,500,10,3464,6.928,79,1.58,10,150,3,27,0.54,9,0.18
bottom_agent,"(9, 9)",10,1,0,1,17,0.034,1724,34.48,500,10,3213,6.426,68,1.36,10,150,3,26,0.52,8,0.16
top_agent,"(9, 9)",10,1,0,1,8,0.016,1696,33.92,500,10,4537,9.074,61,1.22,10,150,3,12,0.24,4,0.08
bottom_agent,"(9, 9)",10,1,0,1,8,0.016,1941,38.82,500,10,4151,8.302,131,2.62,10,150,3,24,0.48,8,0.16
top_agent,"(9, 9)",10,0,0,0,2,0.004,1674,33.48,500,10,3576,7.152,55,1.1,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,0,0,0,4,0.008,1800,36,500,10,3685,7.37,94,1.88,10,150,3,30,0.6,9,0.18
top_agent,"(9, 9)",10,0,0,0,26,0.052,1752,35.04,500,10,4914,9.828,83,1.66,10,150,3,18,0.36,6,0.12
bottom_agent,"(9, 9)",10,0,0,0,24,0.048,1880,37.6,500,10,4540,9.08,109,2.18,10,150,3,27,0.54,7,0.14
top_agent,"(9, 9)",10,3,2,1,1,0.002,1707,34.14,500,10,2743,5.486,61,1.22,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",10,3,2,1,34,0.068,1918,38.36,500,10,4993,9.986,133,2.66,10,150,3,0,0,0,0
top_agent,"(9, 9)",10,4,3,1,0,0,1779,35.58,500,10,4394,8.788,81,1.62,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,4,3,1,0,0,1768,35.36,500,10,2920,5.84,75,1.5,10,150,3,9,0.18,3,0.06
top_agent,"(9, 9)",10,4,3,1,0,0,1767,35.34,500,10,5664,11.328,80,1.6,10,150,3,21,0.42,7,0.14
bottom_agent,"(9, 9)",10,4,3,1,6,0.012,1928,38.56,500,10,4253,8.506,123,2.46,10,150,3,6,0.12,2,0.04
top_agent,"(9, 9)",10,4,3,1,5,0.01,2033,40.66,500,10,3285,6.57,157,3.14,10,150,3,186,3.72,58,1.16
bottom_agent,"(9, 9)",10,4,3,1,16,0.032,2230,44.6,500,10,3767,7.534,208,4.16,10,150,3,36,0.72,12,0.24
top_agent,"(9, 9)",10,0,0,0,28,0.056,1879,37.58,500,10,4524,9.048,120,2.4,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,0,0,0,58,0.116,1886,37.72,500,10,7507,15.014,125,2.5,10,150,3,6,0.12,2,0.04
top_agent,"(9, 9)",10,1,0,1,9,0.018,1667,33.34,500,10,4344,8.688,49,0.98,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,1,0,1,21,0.042,1774,35.48,500,10,3908,7.816,82,1.64,10,150,3,27,0.54,9,0.18
top_agent,"(9, 9)",10,2,1,1,22,0.044,1711,34.22,500,10,3684,7.368,65,1.3,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",10,2,1,1,11,0.022,1767,35.34,500,10,2922,5.844,79,1.58,10,150,3,32,0.64,10,0.2
top_agent,"(9, 9)",10,3,2,1,1,0.002,1729,34.58,500,10,5996,11.992,68,1.36,10,150,3,27,0.54,9,0.18
bottom_agent,"(9, 9)",10,3,2,1,5,0.01,1861,37.22,500,10,4265,8.53,76,1.52,10,200,4,17,0.34,5,0.1
top_agent,"(9, 9)",10,2,1,1,0,0,1692,33.84,500,10,1950,3.9,61,1.22,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",10,2,1,1,12,0.024,1807,36.14,500,10,3238,6.476,88,1.76,10,150,3,9,0.18,3,0.06
top_agent,"(9, 9)",10,1,0,1,1,0.002,1694,33.88,500,10,2318,4.636,56,1.12,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,1,0,1,43,0.086,2052,41.04,500,10,6673,13.346,165,3.3,10,150,3,18,0.36,6,0.12
top_agent,"(9, 9)",10,2,1,1,0,0,1720,34.4,500,10,2054,4.108,70,1.4,10,150,3,54,1.08,18,0.36
bottom_agent,"(9, 9)",10,2,1,1,18,0.036,1973,39.46,500,10,3477,6.954,136,2.72,10,150,3,218,4.36,55,1.1
top_agent,"(9, 9)",10,5,4,1,2,0.004,1850,37,500,10,2952,5.904,102,2.04,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",10,5,4,1,6,0.012,1832,36.64,500,10,2761,5.522,91,1.82,10,150,3,4,0.08,1,0.02
top_agent,"(9, 9)",10,5,4,1,23,0.046,1753,35.06,500,10,3252,6.504,67,1.34,10,150,3,7,0.14,2,0.04
bottom_agent,"(9, 9)",10,5,4,1,27,0.054,1773,35.46,500,10,4269,8.538,82,1.64,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,0,0,0,39,0.078,1706,34.12,500,10,5261,10.522,73,1.46,10,150,3,9,0.18,3,0.06
bottom_agent,"(9, 9)",10,0,0,0,50,0.1,1757,35.14,500,10,5466,10.932,82,1.64,10,150,3,6,0.12,2,0.04
top_agent,"(9, 9)",10,0,0,0,2,0.004,1921,38.42,500,10,3264,6.528,112,2.24,10,200,4,3,0.06,1,0.02
bottom_agent,"(9, 9)",10,0,0,0,12,0.024,2133,42.66,500,10,3917,7.834,170,3.4,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",10,3,2,1,9,0.018,1634,32.68,500,10,2828,5.656,38,0.76,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",10,3,2,1,20,0.04,1753,35.06,500,10,5122,10.244,79,1.58,10,150,3,18,0.36,6,0.12
top_agent,"(9, 9)",10,4,3,1,36,0.072,1753,35.06,500,10,5059,10.118,78,1.56,10,150,3,15,0.3,5,0.1
bottom_agent,"(9, 9)",10,4,3,1,51,0.102,1869,37.38,500,10,6361,12.722,113,2.26,10,150,3,18,0.36,6,0.12
top_agent,"(9, 9)",10,3,2,1,37,0.074,1846,36.92,500,10,5664,11.328,100,2,10,200,4,12,0.24,4,0.08
bottom_agent,"(9, 9)",10,3,2,1,46,0.092,1842,36.84,500,10,7040,14.08,95,1.9,10,200,4,24,0.48,8,0.16
top_agent,"(9, 9)",10,2,1,1,23,0.046,1692,33.84,500,10,3241,6.482,60,1.2,10,150,3,12,0.24,4,0.08
bottom_agent,"(9, 9)",10,2,1,1,23,0.046,1888,37.76,500,10,3574,7.148,83,1.66,10,250,5,15,0.3,5,0.1
top_agent,"(9, 9)",10,0,0,0,6,0.012,2078,41.56,500,10,3119,6.238,173,3.46,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,0,0,0,21,0.042,1869,37.38,500,10,4195,8.39,109,2.18,10,150,3,36,0.72,12,0.24
top_agent,"(9, 9)",10,1,0,1,1,0.002,1733,34.66,500,10,2404,4.808,53,1.06,10,200,4,6,0.12,2,0.04
bottom_agent,"(9, 9)",10,1,0,1,8,0.016,2039,40.78,500,10,3763,7.526,149,2.98,10,150,3,58,1.16,18,0.36
top_agent,"(9, 9)",10,0,0,0,10,0.02,1808,36.16,500,10,3556,7.112,102,2.04,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",10,0,0,0,30,0.06,1864,37.28,500,10,4118,8.236,118,2.36,10,150,3,9,0.18,3,0.06
top_agent,"(9, 9)",10,7,6,1,0,0,1756,35.12,500,10,2865,5.73,59,1.18,10,150,3,16,0.32,4,0.08
bottom_agent,"(9, 9)",10,7,6,1,1,0.002,1951,39.02,500,10,3547,7.094,116,2.32,10,150,3,10,0.2,3,0.06
top_agent,"(9, 9)",10,4,3,1,1,0.002,1810,36.2,500,10,2320,4.64,90,1.8,10,150,3,28,0.56,9,0.18
bottom_agent,"(9, 9)",10,4,3,1,4,0.008,1677,33.54,500,10,2517,5.034,54,1.08,10,150,3,6,0.12,2,0.04
