Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per config,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per move,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move
top_agent,"(15, 15)",10,8,7,1,0,0,1715,34.3,500,10,9204,18.408,64,0.128,10,150,3,6,0.12,2
bottom_agent,"(15, 15)",10,8,7,1,0,0,2698,53.96,500,10,7797,15.594,266,0.532,10,150,3,27,0.54,9
NotApplicable,"(15, 15)",5,100,100,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
top_agent,"(15, 15)",10,1,0,1,0,0,1776,35.52,500,10,6633,13.266,86,0.172,10,150,3,6,0.12,2
bottom_agent,"(15, 15)",10,1,0,1,0,0,2014,40.28,500,10,4918,9.836,117,0.234,10,150,3,18,0.36,6
top_agent,"(15, 15)",10,10,9,1,0,0,1936,38.72,500,10,8938,17.876,133,0.266,10,150,3,39,0.78,12
bottom_agent,"(15, 15)",10,10,9,1,0,0,2082,41.64,500,10,9142,18.284,156,0.312,10,150,3,23,0.46,7
top_agent,"(15, 15)",10,47,46,1,0,0,1870,37.4,500,10,9311,18.622,117,0.234,10,150,3,33,0.66,11
bottom_agent,"(15, 15)",10,47,46,1,0,0,2059,41.18,500,10,10244,20.488,135,0.27,10,150,3,40,0.8,13
top_agent,"(15, 15)",10,18,17,1,0,0,1732,34.64,500,10,13551,27.102,50,0.1,10,150,3,48,0.96,12
bottom_agent,"(15, 15)",10,18,17,1,0,0,1858,37.16,500,10,11545,23.09,89,0.178,10,150,3,39,0.78,11
top_agent,"(15, 15)",10,4,3,1,0,0,1965,39.3,500,10,10908,21.816,75,0.15,10,150,3,16,0.32,5
bottom_agent,"(15, 15)",10,4,3,1,0,0,2093,41.86,500,10,8561,17.122,141,0.282,10,150,3,15,0.3,5
top_agent,"(15, 15)",10,14,13,1,0,0,1678,33.56,500,10,5632,11.264,54,0.108,10,150,3,3,0.06,1
bottom_agent,"(15, 15)",10,14,13,1,0,0,1899,37.98,500,10,4460,8.92,74,0.148,10,150,3,0,0,0
top_agent,"(15, 15)",10,69,68,1,0,0,1732,34.64,500,10,13624,27.248,63,0.126,10,150,3,3,0.06,1
bottom_agent,"(15, 15)",10,69,68,1,0,0,2426,48.52,500,10,10332,20.664,270,0.54,10,150,3,21,0.42,7
top_agent,"(15, 15)",10,7,6,1,0,0,1834,36.68,500,10,14189,28.378,68,0.136,10,150,3,3,0.06,1
bottom_agent,"(15, 15)",10,7,6,1,0,0,2248,44.96,500,10,11906,23.812,185,0.37,10,150,3,84,1.68,26
top_agent,"(15, 15)",10,71,70,1,0,0,2174,43.48,500,10,5464,10.928,203,0.406,10,150,3,14,0.28,4
bottom_agent,"(15, 15)",10,71,70,1,0,0,2315,46.3,500,10,4958,9.916,202,0.404,10,150,3,9,0.18,3
top_agent,"(15, 15)",10,85,84,1,0,0,1891,37.82,500,10,11890,23.78,97,0.194,10,150,3,21,0.42,7
bottom_agent,"(15, 15)",10,85,84,1,0,0,2401,48.02,500,10,12264,24.528,212,0.424,10,150,3,21,0.42,7
top_agent,"(15, 15)",10,9,8,1,0,0,1770,35.4,500,10,8157,16.314,71,0.142,10,150,3,24,0.48,8
bottom_agent,"(15, 15)",10,9,8,1,0,0,2335,46.7,500,10,8760,17.52,202,0.404,10,150,3,30,0.6,10
top_agent,"(15, 15)",10,1,0,1,0,0,1723,34.46,500,10,9570,19.14,66,0.132,10,150,3,4,0.08,1
bottom_agent,"(15, 15)",10,1,0,1,0,0,1804,36.08,500,10,8698,17.396,98,0.196,10,150,3,6,0.12,2
top_agent,"(15, 15)",10,40,39,1,0,0,1808,36.16,500,10,9674,19.348,91,0.182,10,150,3,21,0.42,7
bottom_agent,"(15, 15)",10,40,39,1,0,0,2353,47.06,500,10,7568,15.136,201,0.402,10,150,3,324,6.48,54
top_agent,"(15, 15)",10,55,54,1,0,0,1972,39.44,500,10,10422,20.844,92,0.184,10,150,3,6,0.12,2
bottom_agent,"(15, 15)",10,55,54,1,0,0,2626,52.52,500,10,10016,20.032,307,0.614,10,150,3,228,4.56,67
top_agent,"(15, 15)",10,26,25,1,0,0,1792,35.84,500,10,12469,24.938,90,0.18,10,150,3,27,0.54,9
bottom_agent,"(15, 15)",10,26,25,1,0,0,2833,56.66,500,10,8827,17.654,264,0.528,10,150,3,3,0.06,1
top_agent,"(15, 15)",10,18,17,1,0,0,1778,35.56,500,10,8855,17.71,84,0.168,10,150,3,12,0.24,4
bottom_agent,"(15, 15)",10,18,17,1,0,0,2186,43.72,500,10,9993,19.986,166,0.332,10,150,3,0,0,0
top_agent,"(15, 15)",10,1,0,1,0,0,1807,36.14,500,10,6456,12.912,95,0.19,10,150,3,3,0.06,1
bottom_agent,"(15, 15)",10,1,0,1,0,0,1702,34.04,500,10,9076,18.152,65,0.13,10,150,3,30,0.6,10
top_agent,"(15, 15)",10,15,14,1,0,0,1757,35.14,500,10,8133,16.266,81,0.162,10,150,3,7,0.14,2
bottom_agent,"(15, 15)",10,15,14,1,0,0,2059,41.18,500,10,7935,15.87,178,0.356,10,150,3,162,3.24,53
top_agent,"(15, 15)",10,34,33,1,0,0,1747,34.94,500,10,12017,24.034,67,0.134,10,150,3,27,0.54,9
bottom_agent,"(15, 15)",10,34,33,1,0,0,1824,36.48,500,10,9564,19.128,84,0.168,10,150,3,53,1.06,16
top_agent,"(15, 15)",10,47,46,1,0,0,1738,34.76,500,10,7536,15.072,59,0.118,10,150,3,0,0,0
bottom_agent,"(15, 15)",10,47,46,1,0,0,1949,38.98,500,10,5906,11.812,134,0.268,10,150,3,156,3.12,51
top_agent,"(15, 15)",10,2,1,1,0,0,1659,33.18,500,10,7229,14.458,49,0.098,10,150,3,12,0.24,4
bottom_agent,"(15, 15)",10,2,1,1,0,0,2004,40.08,500,10,7065,14.13,141,0.282,10,150,3,199,3.98,62
top_agent,"(15, 15)",10,49,48,1,0,0,1829,36.58,500,10,9016,18.032,106,0.212,10,150,3,153,3.06,51
bottom_agent,"(15, 15)",10,49,48,1,0,0,2220,44.4,500,10,8802,17.604,214,0.428,10,150,3,27,0.54,9
top_agent,"(15, 15)",10,2,1,1,0,0,1770,35.4,500,10,6660,13.32,65,0.13,10,150,3,15,0.3,5
bottom_agent,"(15, 15)",10,2,1,1,0,0,1853,37.06,500,10,5667,11.334,90,0.18,10,200,4,21,0.42,7
top_agent,"(15, 15)",10,1,0,1,0,0,1837,36.74,500,10,10778,21.556,83,0.166,10,150,3,39,0.78,12
bottom_agent,"(15, 15)",10,1,0,1,0,0,1730,34.6,500,10,7482,14.964,71,0.142,10,150,3,12,0.24,4
top_agent,"(15, 15)",10,7,6,1,0,0,1824,36.48,500,10,5956,11.912,102,0.204,10,150,3,18,0.36,6
bottom_agent,"(15, 15)",10,7,6,1,0,0,2055,41.1,500,10,5397,10.794,173,0.346,10,150,3,192,3.84,63
top_agent,"(15, 15)",15,2,1,1,0,0,1989,39.78,500,10,2532,5.064,152,0.304,10,150,3,321,6.42,101
bottom_agent,"(15, 15)",15,2,1,1,7,0.014,2150,43,500,10,4591,9.182,193,0.386,10,150,3,345,6.9,101
NotApplicable,"(15, 15)",10,100,100,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
top_agent,"(15, 15)",15,4,3,1,0,0,1816,36.32,500,10,3205,6.41,95,0.19,10,150,3,0,0,0
bottom_agent,"(15, 15)",15,4,3,1,0,0,1967,39.34,500,10,3073,6.146,135,0.27,10,150,3,0,0,0
top_agent,"(15, 15)",15,20,19,1,0,0,1792,35.84,500,10,7298,14.596,86,0.172,10,150,3,37,0.74,12
bottom_agent,"(15, 15)",15,20,19,1,0,0,1661,33.22,500,10,6468,12.936,47,0.094,10,150,3,0,0,0
top_agent,"(15, 15)",15,2,1,1,0,0,1618,32.36,500,10,5444,10.888,24,0.048,10,150,3,3,0.06,1
bottom_agent,"(15, 15)",15,2,1,1,1,0.002,1799,35.98,500,10,3836,7.672,80,0.16,10,200,4,3,0.06,1
top_agent,"(15, 15)",15,3,2,1,32,0.064,1676,33.52,500,10,13960,27.92,57,0.114,10,150,3,25,0.5,8
bottom_agent,"(15, 15)",15,3,2,1,48,0.096,1748,34.96,500,10,17870,35.74,72,0.144,10,150,3,27,0.54,9
top_agent,"(15, 15)",15,3,2,1,0,0,1672,33.44,500,10,5175,10.35,52,0.104,10,150,3,9,0.18,3
bottom_agent,"(15, 15)",15,3,2,1,6,0.012,1848,36.96,500,10,7581,15.162,101,0.202,10,150,3,9,0.18,3
top_agent,"(15, 15)",15,0,0,0,0,0,1578,31.56,500,10,5873,11.746,25,0.05,10,150,3,3,0.06,1
