Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per config,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per move,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move
bottom_agent,"(10, 10)",10,5,4,1,2,0.004,2073,41.46,500,10,3116,6.232,164,0.328,10,150,3,173,3.46,51
top_agent,"(10, 10)",10,2,1,1,4,0.008,1908,38.16,500,10,3344,6.688,110,0.22,10,150,3,18,0.36,6
bottom_agent,"(10, 10)",10,2,1,1,42,0.084,1944,38.88,500,10,7995,15.99,90,0.18,10,150,3,0,0,0
top_agent,"(10, 10)",10,0,0,0,5,0.01,1750,35,500,10,3830,7.66,67,0.134,10,150,3,12,0.24,4
bottom_agent,"(10, 10)",10,0,0,0,30,0.06,1921,38.42,500,10,6444,12.888,100,0.2,10,150,3,15,0.3,5
top_agent,"(10, 10)",10,0,0,0,29,0.058,1768,35.36,500,10,6477,12.954,83,0.166,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,0,0,0,37,0.074,1864,37.28,500,10,6930,13.86,109,0.218,10,150,3,54,1.08,18
top_agent,"(10, 10)",10,10,9,1,10,0.02,1776,35.52,500,10,4656,9.312,47,0.094,10,200,4,3,0.06,1
bottom_agent,"(10, 10)",10,10,9,1,19,0.038,2000,40,500,10,5559,11.118,143,0.286,10,150,3,168,3.36,55
top_agent,"(10, 10)",10,3,2,1,0,0,1732,34.64,500,10,6196,12.392,53,0.106,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,3,2,1,0,0,1807,36.14,500,10,5063,10.126,87,0.174,10,150,3,27,0.54,7
top_agent,"(10, 10)",10,7,6,1,12,0.024,1790,35.8,500,10,3198,6.396,90,0.18,10,150,3,80,1.6,24
bottom_agent,"(10, 10)",10,7,6,1,1,0.002,1707,34.14,500,10,2686,5.372,63,0.126,10,150,3,24,0.48,8
top_agent,"(10, 10)",10,2,1,1,13,0.026,1787,35.74,500,10,5679,11.358,80,0.16,10,150,3,45,0.9,13
bottom_agent,"(10, 10)",10,2,1,1,23,0.046,2028,40.56,500,10,6092,12.184,111,0.222,10,150,3,0,0,0
top_agent,"(10, 10)",10,7,6,1,0,0,1710,34.2,500,10,3150,6.3,50,0.1,10,150,3,24,0.48,8
bottom_agent,"(10, 10)",10,7,6,1,14,0.028,1740,34.8,500,10,4911,9.822,73,0.146,10,150,3,0,0,0
top_agent,"(10, 10)",10,4,3,1,2,0.004,1744,34.88,500,10,3562,7.124,78,0.156,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,4,3,1,18,0.036,1658,33.16,500,10,5914,11.828,50,0.1,10,150,3,0,0,0
top_agent,"(10, 10)",10,3,2,1,0,0,1671,33.42,500,10,7499,14.998,50,0.1,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,3,2,1,0,0,2098,41.96,500,10,5268,10.536,152,0.304,10,150,3,3,0.06,1
top_agent,"(10, 10)",10,2,1,1,0,0,1732,34.64,500,10,3951,7.902,59,0.118,10,150,3,9,0.18,3
bottom_agent,"(10, 10)",10,2,1,1,9,0.018,1979,39.58,500,10,3617,7.234,143,0.286,10,150,3,232,4.64,68
top_agent,"(10, 10)",10,8,7,1,27,0.054,1680,33.6,500,10,5507,11.014,55,0.11,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,8,7,1,36,0.072,1740,34.8,500,10,6565,13.13,73,0.146,10,150,3,3,0.06,1
top_agent,"(10, 10)",10,4,3,1,6,0.012,1607,32.14,500,10,3858,7.716,32,0.064,10,150,3,6,0.12,2
bottom_agent,"(10, 10)",10,4,3,1,0,0,1917,38.34,500,10,3683,7.366,122,0.244,10,150,3,0,0,0
top_agent,"(10, 10)",10,0,0,0,0,0,1642,32.84,500,10,2874,5.748,44,0.088,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,0,0,0,22,0.044,1747,34.94,500,10,5204,10.408,73,0.146,10,150,3,0,0,0
top_agent,"(10, 10)",10,4,3,1,29,0.058,1764,35.28,500,10,6029,12.058,88,0.176,10,150,3,39,0.78,13
bottom_agent,"(10, 10)",10,4,3,1,18,0.036,1748,34.96,500,10,4606,9.212,78,0.156,10,150,3,13,0.26,4
top_agent,"(10, 10)",10,1,0,1,0,0,1663,33.26,500,10,3826,7.652,46,0.092,10,150,3,6,0.12,2
bottom_agent,"(10, 10)",10,1,0,1,1,0.002,1755,35.1,500,10,3748,7.496,76,0.152,10,150,3,26,0.52,7
top_agent,"(10, 10)",10,1,0,1,0,0,1753,35.06,500,10,4248,8.496,70,0.14,10,150,3,27,0.54,9
bottom_agent,"(10, 10)",10,1,0,1,0,0,1652,33.04,500,10,3554,7.108,44,0.088,10,150,3,7,0.14,2
top_agent,"(10, 10)",10,5,4,1,47,0.094,1822,36.44,500,10,8170,16.34,104,0.208,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,5,4,1,47,0.094,1933,38.66,500,10,8369,16.738,130,0.26,10,150,3,22,0.44,7
top_agent,"(10, 10)",10,0,0,0,12,0.024,2106,42.12,500,10,4269,8.538,177,0.354,10,150,3,21,0.42,6
bottom_agent,"(10, 10)",10,0,0,0,20,0.04,1706,34.12,500,10,4977,9.954,64,0.128,10,150,3,0,0,0
top_agent,"(10, 10)",10,0,0,0,14,0.028,1827,36.54,500,10,5268,10.536,96,0.192,10,150,3,27,0.54,9
