Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per config,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per move,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move
top_agent,"(20, 20)",15,24,23,1,0,0,1719,34.38,500,10,9421,18.842,69,1.38,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,24,23,1,0,0,1827,36.54,500,10,12112,24.224,92,1.84,10,200,4,19,0.38,6
top_agent,"(20, 20)",15,32,31,1,0,0,1760,35.2,500,10,8796,17.592,79,1.58,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,32,31,1,0,0,1926,38.52,500,10,7823,15.646,87,1.74,10,150,3,3,0.06,1
top_agent,"(20, 20)",15,0,0,0,0,0,1754,35.08,500,10,8501,17.002,68,1.36,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,0,0,0,0,0,1617,32.34,500,10,8323,16.646,22,0.44,10,150,3,6,0.12,2
top_agent,"(20, 20)",15,58,57,1,0,0,1629,32.58,500,10,3462,6.924,39,0.78,10,150,3,9,0.18,3
bottom_agent,"(20, 20)",15,58,57,1,0,0,1762,35.24,500,10,2840,5.68,85,1.7,10,150,3,3,0.06,1
top_agent,"(20, 20)",15,4,3,1,0,0,1589,31.78,500,10,10440,20.88,27,0.54,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,4,3,1,0,0,1759,35.18,500,10,9350,18.7,81,1.62,10,150,3,156,3.12,50
top_agent,"(20, 20)",15,10,9,1,0,0,1859,37.18,500,10,5162,10.324,112,2.24,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,10,9,1,0,0,1924,38.48,500,10,5019,10.038,136,2.72,10,150,3,6,0.12,2
top_agent,"(20, 20)",15,22,21,1,0,0,1587,31.74,500,10,8228,16.456,28,0.56,10,150,3,30,0.6,10
bottom_agent,"(20, 20)",15,22,21,1,0,0,1588,31.76,500,10,8139,16.278,29,0.58,10,150,3,9,0.18,3
top_agent,"(20, 20)",15,19,18,1,0,0,1902,38.04,500,10,6375,12.75,107,2.14,10,150,3,12,0.24,4
bottom_agent,"(20, 20)",15,19,18,1,0,0,1766,35.32,500,10,4378,8.756,86,1.72,10,150,3,168,3.36,54
top_agent,"(20, 20)",15,16,15,1,0,0,1601,32.02,500,10,6072,12.144,33,0.66,10,150,3,6,0.12,2
bottom_agent,"(20, 20)",15,16,15,1,0,0,1615,32.3,500,10,6105,12.21,37,0.74,10,150,3,16,0.32,5
top_agent,"(20, 20)",15,13,12,1,0,0,1925,38.5,500,10,4929,9.858,129,2.58,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,13,12,1,0,0,2113,42.26,500,10,5702,11.404,191,3.82,10,150,3,21,0.42,7
top_agent,"(20, 20)",15,9,8,1,0,0,1661,33.22,500,10,7140,14.28,49,0.98,10,150,3,9,0.18,3
bottom_agent,"(20, 20)",15,9,8,1,0,0,1981,39.62,500,10,4986,9.972,136,2.72,10,150,3,0,0,0
top_agent,"(20, 20)",15,0,0,0,0,0,1557,31.14,500,10,9850,19.7,19,0.38,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,0,0,0,0,0,1560,31.2,500,10,8900,17.8,19,0.38,10,150,3,0,0,0
top_agent,"(20, 20)",15,1,0,1,0,0,1920,38.4,500,10,8838,17.676,133,2.66,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,1,0,1,0,0,2230,44.6,500,10,7536,15.072,181,3.62,10,150,3,19,0.38,5
top_agent,"(20, 20)",15,59,58,1,0,0,1769,35.38,500,10,5969,11.938,68,1.36,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,59,58,1,0,0,1784,35.68,500,10,6035,12.07,72,1.44,10,150,3,3,0.06,1
top_agent,"(20, 20)",15,5,4,1,0,0,1651,33.02,500,10,8605,17.21,48,0.96,10,150,3,18,0.36,6
bottom_agent,"(20, 20)",15,5,4,1,0,0,1823,36.46,500,10,8121,16.242,83,1.66,10,200,4,3,0.06,1
top_agent,"(20, 20)",15,29,28,1,0,0,1820,36.4,500,10,6185,12.37,85,1.7,10,150,3,9,0.18,3
bottom_agent,"(20, 20)",15,29,28,1,0,0,1660,33.2,500,10,5288,10.576,33,0.66,10,150,3,18,0.36,6
top_agent,"(20, 20)",15,1,0,1,0,0,1585,31.7,500,10,6655,13.31,27,0.54,10,150,3,9,0.18,3
bottom_agent,"(20, 20)",15,1,0,1,0,0,1692,33.84,500,10,7236,14.472,30,0.6,10,150,3,0,0,0
top_agent,"(20, 20)",15,55,54,1,0,0,1731,34.62,500,10,3868,7.736,73,1.46,10,150,3,24,0.48,8
bottom_agent,"(20, 20)",15,55,54,1,1,0.002,2002,40.04,500,10,5266,10.532,163,3.26,10,150,3,174,3.48,57
top_agent,"(20, 20)",15,6,5,1,0,0,1712,34.24,500,10,6685,13.37,69,1.38,10,150,3,6,0.12,2
bottom_agent,"(20, 20)",15,6,5,1,0,0,1913,38.26,500,10,7475,14.95,119,2.38,10,200,4,3,0.06,1
top_agent,"(20, 20)",15,41,40,1,0,0,1555,31.1,500,10,4915,9.83,18,0.36,10,150,3,6,0.12,2
bottom_agent,"(20, 20)",15,41,40,1,0,0,1871,37.42,500,10,3785,7.57,113,2.26,10,150,3,153,3.06,50
top_agent,"(20, 20)",15,11,10,1,0,0,1595,31.9,500,10,5757,11.514,30,0.6,10,150,3,6,0.12,2
bottom_agent,"(20, 20)",15,11,10,1,0,0,1580,31.6,500,10,5298,10.596,25,0.5,10,150,3,0,0,0
top_agent,"(20, 20)",15,5,4,1,0,0,1711,34.22,500,10,5904,11.808,67,1.34,10,150,3,6,0.12,2
bottom_agent,"(20, 20)",15,5,4,1,0,0,1566,31.32,500,10,5453,10.906,22,0.44,10,150,3,0,0,0
top_agent,"(20, 20)",15,5,4,1,0,0,1614,32.28,500,10,5133,10.266,36,0.72,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,5,4,1,0,0,1573,31.46,500,10,5464,10.928,21,0.42,10,150,3,18,0.36,6
top_agent,"(20, 20)",15,7,6,1,0,0,1707,34.14,500,10,7622,15.244,69,1.38,10,150,3,15,0.3,5
bottom_agent,"(20, 20)",15,7,6,1,0,0,1722,34.44,500,10,6455,12.91,71,1.42,10,150,3,153,3.06,51
top_agent,"(20, 20)",15,2,1,1,0,0,1578,31.56,500,10,6216,12.432,24,0.48,10,150,3,9,0.18,3
bottom_agent,"(20, 20)",15,2,1,1,0,0,1921,38.42,500,10,5608,11.216,139,2.78,10,150,3,168,3.36,56
top_agent,"(20, 20)",15,1,0,1,0,0,1689,33.78,500,10,6041,12.082,61,1.22,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,1,0,1,0,0,1900,38,500,10,6715,13.43,128,2.56,10,150,3,0,0,0
top_agent,"(20, 20)",15,3,2,1,0,0,1586,31.72,500,10,11869,23.738,26,0.52,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,3,2,1,0,0,2224,44.48,500,10,10133,20.266,180,3.6,10,150,3,171,3.42,51
top_agent,"(20, 20)",15,1,0,1,0,0,1585,31.7,500,10,8471,16.942,24,0.48,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,1,0,1,0,0,1722,34.44,500,10,9414,18.828,28,0.56,10,150,3,6,0.12,2
top_agent,"(20, 20)",15,8,7,1,0,0,1726,34.52,500,10,8737,17.474,49,0.98,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,8,7,1,0,0,1778,35.56,500,10,6330,12.66,74,1.48,10,150,3,0,0,0
top_agent,"(20, 20)",15,6,5,1,0,0,1941,38.82,500,10,6833,13.666,132,2.64,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,6,5,1,0,0,1633,32.66,500,10,6950,13.9,40,0.8,10,150,3,0,0,0
top_agent,"(20, 20)",15,4,3,1,0,0,1576,31.52,500,10,4444,8.888,24,0.48,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,4,3,1,0,0,1904,38.08,500,10,3898,7.796,129,2.58,10,150,3,165,3.3,52
top_agent,"(20, 20)",15,49,48,1,0,0,1636,32.72,500,10,7678,15.356,28,0.56,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,49,48,1,0,0,1808,36.16,500,10,6758,13.516,99,1.98,10,150,3,159,3.18,52
top_agent,"(20, 20)",15,15,14,1,0,0,1539,30.78,500,10,4608,9.216,11,0.22,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,15,14,1,0,0,1595,31.9,500,10,4472,8.944,27,0.54,10,150,3,3,0.06,1
top_agent,"(20, 20)",15,3,2,1,0,0,1626,32.52,500,10,5719,11.438,39,0.78,10,150,3,12,0.24,4
bottom_agent,"(20, 20)",15,3,2,1,0,0,1809,36.18,500,10,6313,12.626,95,1.9,10,150,3,6,0.12,2
top_agent,"(20, 20)",15,0,0,0,0,0,1576,31.52,500,10,10247,20.494,25,0.5,10,150,3,12,0.24,4
bottom_agent,"(20, 20)",15,0,0,0,0,0,1809,36.18,500,10,8076,16.152,96,1.92,10,150,3,165,3.3,55
top_agent,"(20, 20)",15,6,5,1,0,0,1661,33.22,500,10,6331,12.662,33,0.66,10,200,4,3,0.06,1
bottom_agent,"(20, 20)",15,6,5,1,0,0,1620,32.4,500,10,6304,12.608,22,0.44,10,150,3,0,0,0
top_agent,"(20, 20)",15,12,11,1,0,0,1879,37.58,500,10,8618,17.236,71,1.42,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,12,11,1,1,0.002,2172,43.44,500,10,6194,12.388,157,3.14,10,150,3,10,0.2,3
top_agent,"(20, 20)",15,26,25,1,0,0,1675,33.5,500,10,5388,10.776,14,0.28,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,26,25,1,0,0,1898,37.96,500,10,4784,9.568,82,1.64,10,150,3,24,0.48,8
top_agent,"(20, 20)",15,1,0,1,0,0,1574,31.48,500,10,12056,24.112,22,0.44,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,1,0,1,0,0,2148,42.96,500,10,9846,19.692,132,2.64,10,150,3,18,0.36,6
top_agent,"(20, 20)",15,15,14,1,0,0,1602,32.04,500,10,9830,19.66,31,0.62,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,15,14,1,0,0,1650,33,500,10,7561,15.122,47,0.94,10,150,3,36,0.72,10
top_agent,"(20, 20)",15,56,55,1,0,0,1559,31.18,500,10,3299,6.598,18,0.36,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,56,55,1,0,0,1525,30.5,500,10,2603,5.206,8,0.16,10,150,3,0,0,0
top_agent,"(20, 20)",15,42,41,1,0,0,1880,37.6,500,10,3828,7.656,123,2.46,10,150,3,171,3.42,55
bottom_agent,"(20, 20)",15,42,41,1,0,0,1911,38.22,500,10,4976,9.952,85,1.7,10,150,3,3,0.06,1
top_agent,"(20, 20)",15,5,4,1,0,0,1746,34.92,500,10,8865,17.73,80,1.6,10,150,3,27,0.54,9
bottom_agent,"(20, 20)",15,5,4,1,0,0,1784,35.68,500,10,7313,14.626,87,1.74,10,150,3,3,0.06,1
top_agent,"(20, 20)",15,1,0,1,0,0,1712,34.24,500,10,14003,28.006,39,0.78,10,150,3,12,0.24,4
bottom_agent,"(20, 20)",15,1,0,1,0,0,2108,42.16,500,10,10914,21.828,185,3.7,10,150,3,0,0,0
top_agent,"(20, 20)",15,10,9,1,0,0,1682,33.64,500,10,10599,21.198,58,1.16,10,150,3,9,0.18,3
bottom_agent,"(20, 20)",15,10,9,1,0,0,1902,38.04,500,10,10904,21.808,116,2.32,10,200,4,6,0.12,2
top_agent,"(20, 20)",15,11,10,1,0,0,1582,31.64,500,10,7239,14.478,26,0.52,10,150,3,15,0.3,5
bottom_agent,"(20, 20)",15,11,10,1,0,0,1600,32,500,10,7835,15.67,30,0.6,10,150,3,12,0.24,4
top_agent,"(20, 20)",15,44,43,1,0,0,1762,35.24,500,10,9527,19.054,77,1.54,10,150,3,156,3.12,52
bottom_agent,"(20, 20)",15,44,43,1,0,0,1708,34.16,500,10,9872,19.744,69,1.38,10,150,3,0,0,0
top_agent,"(20, 20)",15,66,65,1,0,0,1575,31.5,500,10,6886,13.772,24,0.48,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,66,65,1,0,0,1597,31.94,500,10,5470,10.94,30,0.6,10,150,3,33,0.66,11
top_agent,"(20, 20)",15,0,0,0,0,0,1650,33,500,10,12159,24.318,35,0.7,10,150,3,9,0.18,3
bottom_agent,"(20, 20)",15,0,0,0,0,0,1940,38.8,500,10,8683,17.366,128,2.56,10,150,3,0,0,0
top_agent,"(20, 20)",15,28,27,1,0,0,1620,32.4,500,10,10959,21.918,23,0.46,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,28,27,1,0,0,1674,33.48,500,10,10741,21.482,35,0.7,10,150,3,30,0.6,6
top_agent,"(20, 20)",15,27,26,1,0,0,1637,32.74,500,10,12064,24.128,28,0.56,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,27,26,1,0,0,2020,40.4,500,10,9779,19.558,144,2.88,10,200,4,12,0.24,4
top_agent,"(20, 20)",15,9,8,1,0,0,1665,33.3,500,10,8059,16.118,36,0.72,10,150,3,12,0.24,4
bottom_agent,"(20, 20)",15,9,8,1,0,0,1601,32.02,500,10,5394,10.788,31,0.62,10,150,3,12,0.24,4
top_agent,"(20, 20)",15,0,0,0,0,0,1558,31.16,500,10,9863,19.726,19,0.38,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,0,0,0,0,0,1714,34.28,500,10,7270,14.54,71,1.42,10,150,3,150,3,50
top_agent,"(20, 20)",15,7,6,1,0,0,1615,32.3,500,10,9387,18.774,35,0.7,10,150,3,21,0.42,7
bottom_agent,"(20, 20)",15,7,6,1,0,0,2185,43.7,500,10,5966,11.932,121,2.42,10,150,3,321,6.42,57
top_agent,"(20, 20)",15,14,13,1,0,0,1565,31.3,500,10,10096,20.192,20,0.4,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,14,13,1,0,0,1792,35.84,500,10,10158,20.316,94,1.88,10,150,3,24,0.48,8
top_agent,"(20, 20)",15,27,26,1,0,0,1754,35.08,500,10,9146,18.292,77,1.54,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,27,26,1,0,0,2336,46.72,500,10,9440,18.88,181,3.62,10,150,3,8,0.16,2
top_agent,"(20, 20)",15,5,4,1,0,0,1601,32.02,500,10,10029,20.058,31,0.62,10,150,3,18,0.36,6
bottom_agent,"(20, 20)",15,5,4,1,0,0,1623,32.46,500,10,7609,15.218,24,0.48,10,150,3,0,0,0
top_agent,"(20, 20)",15,26,25,1,0,0,1804,36.08,500,10,6431,12.862,88,1.76,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,26,25,1,0,0,1942,38.84,500,10,6876,13.752,129,2.58,10,150,3,0,0,0
top_agent,"(20, 20)",15,9,8,1,0,0,1591,31.82,500,10,6966,13.932,29,0.58,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,9,8,1,0,0,2075,41.5,500,10,7024,14.048,186,3.72,10,150,3,344,6.88,112
top_agent,"(20, 20)",15,29,28,1,0,0,1670,33.4,500,10,10045,20.09,38,0.76,10,150,3,15,0.3,5
bottom_agent,"(20, 20)",15,29,28,1,0,0,1949,38.98,500,10,5389,10.778,144,2.88,10,150,3,180,3.6,60
top_agent,"(20, 20)",15,9,8,1,0,0,1629,32.58,500,10,6701,13.402,39,0.78,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,9,8,1,0,0,1758,35.16,500,10,6893,13.786,81,1.62,10,150,3,182,3.64,56
top_agent,"(20, 20)",15,36,35,1,0,0,1553,31.06,500,10,5240,10.48,17,0.34,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,36,35,1,0,0,1752,35.04,500,10,5888,11.776,83,1.66,10,150,3,162,3.24,54
top_agent,"(20, 20)",15,76,75,1,0,0,1553,31.06,500,10,7016,14.032,16,0.32,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,76,75,1,0,0,1612,32.24,500,10,4498,8.996,36,0.72,10,150,3,21,0.42,7
top_agent,"(20, 20)",15,10,9,1,0,0,1715,34.3,500,10,9959,19.918,56,1.12,10,150,3,6,0.12,2
bottom_agent,"(20, 20)",15,10,9,1,0,0,1581,31.62,500,10,8266,16.532,27,0.54,10,150,3,9,0.18,3
top_agent,"(20, 20)",15,18,17,1,0,0,1994,39.88,500,10,6389,12.778,132,2.64,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,18,17,1,0,0,1957,39.14,500,10,5676,11.352,82,1.64,10,150,3,324,6.48,57
top_agent,"(20, 20)",15,2,1,1,0,0,1561,31.22,500,10,4890,9.78,20,0.4,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,2,1,1,0,0,1573,31.46,500,10,4852,9.704,24,0.48,10,150,3,0,0,0
top_agent,"(20, 20)",15,33,32,1,0,0,1743,34.86,500,10,8043,16.086,69,1.38,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,33,32,1,0,0,1770,35.4,500,10,6034,12.068,63,1.26,10,200,4,0,0,0
top_agent,"(20, 20)",15,2,1,1,0,0,1700,34,500,10,8155,16.31,65,1.3,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,2,1,1,0,0,2214,44.28,500,10,10626,21.252,168,3.36,10,150,3,3,0.06,1
top_agent,"(20, 20)",15,3,2,1,0,0,2011,40.22,500,10,6211,12.422,118,2.36,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,3,2,1,0,0,2016,40.32,500,10,6296,12.592,122,2.44,10,150,3,0,0,0
top_agent,"(20, 20)",15,27,26,1,0,0,1586,31.72,500,10,6348,12.696,27,0.54,10,150,3,9,0.18,3
bottom_agent,"(20, 20)",15,27,26,1,0,0,1836,36.72,500,10,7724,15.448,101,2.02,10,150,3,18,0.36,6
top_agent,"(20, 20)",15,0,0,0,0,0,1755,35.1,500,10,5759,11.518,67,1.34,10,150,3,12,0.24,3
bottom_agent,"(20, 20)",15,0,0,0,0,0,1764,35.28,500,10,4480,8.96,76,1.52,10,150,3,3,0.06,1
top_agent,"(20, 20)",15,58,57,1,0,0,1788,35.76,500,10,8574,17.148,77,1.54,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,58,57,1,0,0,2120,42.4,500,10,8227,16.454,180,3.6,10,150,3,15,0.3,5
top_agent,"(20, 20)",15,8,7,1,0,0,1716,34.32,500,10,6806,13.612,18,0.36,10,300,6,6,0.12,2
bottom_agent,"(20, 20)",15,8,7,1,0,0,2024,40.48,500,10,5078,10.156,122,2.44,10,150,3,3,0.06,1
top_agent,"(20, 20)",15,36,35,1,0,0,1768,35.36,500,10,7974,15.948,83,1.66,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,36,35,1,0,0,1929,38.58,500,10,7646,15.292,142,2.84,10,150,3,6,0.12,2
top_agent,"(20, 20)",15,4,3,1,0,0,1821,36.42,500,10,4772,9.544,101,2.02,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,4,3,1,0,0,1885,37.7,500,10,4768,9.536,121,2.42,10,150,3,21,0.42,7
top_agent,"(20, 20)",15,98,97,1,0,0,2457,49.14,500,10,9762,19.524,235,4.7,10,150,3,6,0.12,2
bottom_agent,"(20, 20)",15,98,97,1,0,0,2280,45.6,500,10,9990,19.98,233,4.66,10,150,3,157,3.14,50
top_agent,"(20, 20)",15,40,39,1,0,0,1620,32.4,500,10,9242,18.484,22,0.44,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,40,39,1,0,0,2330,46.6,500,10,8803,17.606,196,3.92,10,300,6,19,0.38,6
top_agent,"(20, 20)",15,1,0,1,0,0,1761,35.22,500,10,10532,21.064,70,1.4,10,150,3,21,0.42,7
bottom_agent,"(20, 20)",15,1,0,1,0,0,1828,36.56,500,10,6354,12.708,25,0.5,10,150,3,15,0.3,5
top_agent,"(20, 20)",15,22,21,1,0,0,1630,32.6,500,10,11557,23.114,37,0.74,10,150,3,9,0.18,3
bottom_agent,"(20, 20)",15,22,21,1,0,0,2295,45.9,500,10,10047,20.094,191,3.82,10,150,3,311,6.22,53
top_agent,"(20, 20)",15,10,9,1,0,0,1563,31.26,500,10,9848,19.696,18,0.36,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,10,9,1,0,0,1779,35.58,500,10,8995,17.99,91,1.82,10,150,3,12,0.24,3
top_agent,"(20, 20)",15,2,1,1,0,0,1791,35.82,500,10,6097,12.194,96,1.92,10,150,3,9,0.18,3
bottom_agent,"(20, 20)",15,2,1,1,0,0,2215,44.3,500,10,6287,12.574,181,3.62,10,150,3,42,0.84,14
top_agent,"(20, 20)",15,4,3,1,0,0,1659,33.18,500,10,8873,17.746,34,0.68,10,150,3,36,0.72,10
bottom_agent,"(20, 20)",15,4,3,1,0,0,2270,45.4,500,10,5681,11.362,241,4.82,10,150,3,486,9.72,152
top_agent,"(20, 20)",15,80,79,1,0,0,1630,32.6,500,10,7754,15.508,24,0.48,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,80,79,1,0,0,1678,33.56,500,10,5913,11.826,56,1.12,10,150,3,3,0.06,1
top_agent,"(20, 20)",15,8,7,1,0,0,1606,32.12,500,10,7070,14.14,34,0.68,10,150,3,9,0.18,3
bottom_agent,"(20, 20)",15,8,7,1,0,0,1779,35.58,500,10,5156,10.312,87,1.74,10,150,3,6,0.12,2
top_agent,"(20, 20)",15,91,90,1,0,0,1554,31.08,500,10,10294,20.588,17,0.34,10,150,3,6,0.12,2
bottom_agent,"(20, 20)",15,91,90,1,0,0,2147,42.94,500,10,7597,15.194,154,3.08,10,150,3,180,3.6,53
top_agent,"(20, 20)",15,22,21,1,0,0,1682,33.64,500,10,11894,23.788,60,1.2,10,150,3,15,0.3,5
bottom_agent,"(20, 20)",15,22,21,1,0,0,1864,37.28,500,10,10432,20.864,91,1.82,10,150,3,27,0.54,9
top_agent,"(20, 20)",15,79,78,1,0,0,2209,44.18,500,10,7271,14.542,179,3.58,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,79,78,1,0,0,1758,35.16,500,10,5160,10.32,86,1.72,10,150,3,3,0.06,1
top_agent,"(20, 20)",15,4,3,1,0,0,1572,31.44,500,10,7606,15.212,22,0.44,10,150,3,4,0.08,1
bottom_agent,"(20, 20)",15,4,3,1,0,0,2067,41.34,500,10,6052,12.104,174,3.48,10,150,3,191,3.82,56
top_agent,"(20, 20)",15,2,1,1,0,0,1734,34.68,500,10,5267,10.534,77,1.54,10,150,3,12,0.24,4
bottom_agent,"(20, 20)",15,2,1,1,0,0,2136,42.72,500,10,4664,9.328,155,3.1,10,150,3,33,0.66,11
top_agent,"(20, 20)",15,73,72,1,0,0,1665,33.3,500,10,7885,15.77,37,0.74,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,73,72,1,0,0,1634,32.68,500,10,10664,21.328,43,0.86,10,150,3,0,0,0
top_agent,"(20, 20)",15,17,16,1,0,0,1570,31.4,500,10,7943,15.886,22,0.44,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,17,16,1,0,0,1569,31.38,500,10,6756,13.512,22,0.44,10,150,3,6,0.12,2
top_agent,"(20, 20)",15,9,8,1,0,0,1711,34.22,500,10,8360,16.72,66,1.32,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,9,8,1,0,0,1853,37.06,500,10,8122,16.244,92,1.84,10,150,3,34,0.68,10
top_agent,"(20, 20)",15,1,0,1,0,0,1599,31.98,500,10,4761,9.522,29,0.58,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,1,0,1,0,0,1605,32.1,500,10,5662,11.324,35,0.7,10,150,3,12,0.24,4
top_agent,"(20, 20)",15,48,47,1,0,0,1600,32,500,10,7364,14.728,33,0.66,10,150,3,12,0.24,4
bottom_agent,"(20, 20)",15,48,47,1,0,0,1926,38.52,500,10,7508,15.016,134,2.68,10,150,3,184,3.68,56
top_agent,"(20, 20)",15,3,2,1,0,0,1544,30.88,500,10,9367,18.734,14,0.28,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,3,2,1,0,0,1692,33.84,500,10,7093,14.186,63,1.26,10,150,3,0,0,0
top_agent,"(20, 20)",15,11,10,1,0,0,1734,34.68,500,10,11551,23.102,75,1.5,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,11,10,1,0,0,2076,41.52,500,10,11655,23.31,134,2.68,10,150,3,163,3.26,50
top_agent,"(20, 20)",15,8,7,1,0,0,1698,33.96,500,10,7358,14.716,64,1.28,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,8,7,1,0,0,1595,31.9,500,10,5955,11.91,30,0.6,10,150,3,0,0,0
top_agent,"(20, 20)",15,42,41,1,0,0,1532,30.64,500,10,5414,10.828,10,0.2,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,42,41,1,0,0,1645,32.9,500,10,6663,13.326,47,0.94,10,150,3,3,0.06,1
top_agent,"(20, 20)",15,69,68,1,0,0,1587,31.74,500,10,14119,28.238,27,0.54,10,150,3,0,0,0
