Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per config,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per move,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move
top_agent,"(20, 20)",15,7,6,1,0,0,2047,40.94,500,10,5649,11.298,175,3.5,10,150,3,168,3.36,54
bottom_agent,"(20, 20)",15,7,6,1,0,0,1903,38.06,500,10,6732,13.464,123,2.46,10,150,3,18,0.36,6
NotApplicable,"(20, 20)",5,100,100,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
NotApplicable,"(20, 20)",10,100,100,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
top_agent,"(20, 20)",15,8,7,1,0,0,1866,37.32,500,10,8811,17.622,116,2.32,10,150,3,9,0.18,3
bottom_agent,"(20, 20)",15,8,7,1,0,0,1562,31.24,500,10,8575,17.15,19,0.38,10,150,3,0,0,0
top_agent,"(20, 20)",15,12,11,1,0,0,1588,31.76,500,10,11088,22.176,28,0.56,10,150,3,6,0.12,2
bottom_agent,"(20, 20)",15,12,11,1,0,0,1826,36.52,500,10,9630,19.26,104,2.08,10,150,3,159,3.18,51
top_agent,"(20, 20)",15,5,4,1,0,0,1591,31.82,500,10,9962,19.924,29,0.58,10,150,3,6,0.12,2
bottom_agent,"(20, 20)",15,5,4,1,0,0,1876,37.52,500,10,7862,15.724,98,1.96,10,150,3,9,0.18,3
top_agent,"(20, 20)",15,7,6,1,0,0,1614,32.28,500,10,5931,11.862,22,0.44,10,150,3,3,0.06,1
bottom_agent,"(20, 20)",15,7,6,1,0,0,1758,35.16,500,10,4823,9.646,62,1.24,10,200,4,15,0.3,5
top_agent,"(20, 20)",15,15,14,1,0,0,1714,34.28,500,10,6322,12.644,70,1.4,10,150,3,0,0,0
bottom_agent,"(20, 20)",15,15,14,1,0,0,2098,41.96,500,10,6301,12.602,140,2.8,10,150,3,3,0.06,1
