Agent,Grid Size,Number of Colors,Mean regenerations during init,Median regenerations during init,Mean Matches Occurred during init,Median Matches Occurred during init,Mean Deadlocks during init,Median Deadlocks during init,Mean Shuffles/Deadlocks Occurred per move,Median Shuffles/Deadlocks Occurred per move,Mean Shuffles/Deadlocks Occurred per game,Median Shuffles/Deadlocks Occurred per game,Mean score per Game Setting,Median score per Game Setting,Mean Valid Moves Made,Median Valid Moves Made,Mean Possible/Playable Moves per config,Median Possible/Playable Moves per config,Mean Avalanche Matches per game,Median Avalanche Matches per game,Mean deterministic score after first move,Median deterministic score after first move,Mean non-deterministic score after first move,Median non-deterministic score after first move
bottom_agent,"(10, 10)",40,1.345,1,0.17,0,1.175,1,1.65709,1.645,16.5709,16.45,30.5898,30.52,10,10,22.60356,22.514,1.088,1.07,3.01,3,0.0599,0
bottom_agent,"(10, 10)",45,1.955,1,0.17,0,1.785,1,2.17068,2.167,21.7068,21.67,30.4122,30.4,10,10,22.47516,22.53,1.0511,1.04,3,3,0.0264,0
bottom_agent,"(10, 10)",50,2.3,2,0.14,0,2.16,2,2.8166,2.772,28.166,27.72,30.3472,30.32,10,10,22.33034,22.42,1.0285,1.02,3.015,3,0.0247,0
bottom_agent,"(10, 10)",60,3.475,2,0.155,0,3.32,2,4.16872,4.136,41.6872,41.36,30.2515,30.22,10,10,22.4655,22.469,1.0214,1.02,3,3,0.0234,0
bottom_agent,"(10, 10)",70,4.695,3,0.16,0,4.535,3,6.328073748,6.087,63.2635,60.87,30.1526,30.14,9.9981,10,22.15929382,22.118,0.9909,0.98,3,3,0.0048,0
bottom_agent,"(10, 10)",80,5.7,4,0.15,0,5.55,4,8.89978222,8.534,88.6812,85.34,30.0492,30.09,9.9776,10,21.97325094,21.90268652,0.9713,0.96,3,3,0.0045,0
bottom_agent,"(10, 10)",90,7.52,5,0.185,0,7.335,5,13.40200049,12.74442394,130.3786,126.73,29.5547,29.9,9.8218,9.95,21.98761929,22.016,0.9538,0.96,3,3,0.0027,0
bottom_agent,"(10, 10)",100,10.215,7,0.095,0,10.12,7,17.52157144,16.61131643,165.8947,163.45,28.8996,29.54,9.6043,9.83,21.74581645,21.70187472,0.9228,0.92,3.005,3,0.0165,0
bottom_agent,"(15, 15)",10,24.65384615,14.5,23.65384615,13.5,1,1,0,0,0,0,42.78923077,41.41,10,10,16.68330769,17.458,3.257692308,3.22,3.038461538,3,1.338461538,0.54
bottom_agent,"(15, 15)",15,4.13,3,3.295,2,0.835,1,0.03014,0.008,0.3014,0.08,34.6744,34.42,10,10,16.41364,10.699,1.3358,1.26,3.035,3,0.5784,0.06
bottom_agent,"(15, 15)",20,1.23,1,0.63,0,0.6,1,0.10749,0.11,1.0749,1.1,33.2883,32.86,10,10,30.3387,31.153,1.2205,1.14,3.02,3,0.2402,0.06
bottom_agent,"(15, 15)",25,0.895,0,0.425,0,0.47,0,0.1965,0.201,1.965,2.01,32.5067,32.13,10,10,38.78067,39.172,1.2185,1.18,3.045,3,0.2335,0
bottom_agent,"(15, 15)",30,0.68,0,0.225,0,0.455,0,0.30267,0.312,3.0267,3.12,31.7771,31.54,10,10,43.4194,43.632,1.1645,1.12,3.035,3,0.1229,0
bottom_agent,"(15, 15)",35,0.62,0,0.195,0,0.425,0,0.42133,0.424,4.2133,4.24,31.2485,31.12,10,10,45.71313,45.637,1.1023,1.08,3.025,3,0.067,0
bottom_agent,"(15, 15)",40,0.655,0,0.155,0,0.5,0,0.54854,0.551,5.4854,5.51,30.9515,30.87,10,10,47.50509,47.582,1.0777,1.06,3.01,3,0.0249,0
bottom_agent,"(15, 15)",45,0.605,0,0.09,0,0.515,0,0.71343,0.72,7.1343,7.2,30.8015,30.76,10,10,49.1196,49.461,1.0809,1.06,3.005,3,0.0465,0
bottom_agent,"(15, 15)",50,0.845,0,0.15,0,0.695,0,0.87436,0.874,8.7436,8.74,30.6179,30.58,10,10,49.38728,49.327,1.0595,1.06,3,3,0.0261,0
bottom_agent,"(15, 15)",100,3.41,2,0.09,0,3.32,2,3.75058,3.72,37.5058,37.2,30.1573,30.14,10,10,50.73423,50.599,1.0156,1,3,3,0.003,0
bottom_agent,"(15, 15)",150,7.87,5,0.09,0,7.78,5,9.158719527,8.908,91.5341,89.08,30.0642,30.06,9.9956,10,50.1121773,50.475,0.9811,1,3,3,0.0013,0
bottom_agent,"(15, 15)",200,12.71,10,0.125,0,12.585,10,18.10505887,17.48361771,175.3694,172.79,29.3187,29.7,9.7581,9.88,49.7379758,50.17621749,0.9554,0.96,3.005,3,0.0015,0
bottom_agent,"(15, 15)",250,15,10,0,0,15,10,29.64501918,30.5273923,252.304,259.41,25.832,26.07,8.606,8.69,48.36991055,48.74818512,0.826,0.8,3,3,0,0
bottom_agent,"(20, 20)",15,20.915,13,19.97,12,0.945,1,0.00011,0,0.0011,0,36.9147,36,10,10,14.71225,14.437,1.862,1.66,3.065,3,0.9746,0.14
bottom_agent,"(20, 20)",20,4.76,3,3.95,2,0.81,1,0.02508,0,0.2508,0,33.8415,33.57,10,10,22.42908,9.591,1.1062,1.12,3.065,3,0.457,0.06
bottom_agent,"(20, 20)",25,2.145,1,1.48,0,0.665,1,0.08381,0.098,0.8381,0.98,32.8238,32.55,10,10,46.47166,51.687,0.9957,0.98,3.02,3,0.2269,0
bottom_agent,"(20, 20)",30,1.365,1,0.76,0,0.605,1,0.13849,0.138,1.3849,1.38,32.2438,31.92,10,10,59.42029,58.609,1.0284,0.96,3.015,3,0.1396,0
bottom_agent,"(20, 20)",35,0.92,0,0.415,0,0.505,0,0.20119,0.204,2.0119,2.04,31.7266,31.52,10,10,68.30741,67.667,1.0295,0.98,3.025,3,0.1293,0
bottom_agent,"(20, 20)",40,0.745,0,0.295,0,0.45,0,0.27181,0.273,2.7181,2.73,31.4538,31.25,10,10,74.49313,76.158,1.0463,1.02,3.01,3,0.0937,0
bottom_agent,"(20, 20)",45,0.555,0,0.19,0,0.365,0,0.35119,0.36,3.5119,3.6,31.267,31.04,10,10,77.94862,78.726,1.0768,1.02,3.005,3,0.1381,0
bottom_agent,"(20, 20)",50,0.49,0,0.095,0,0.395,0,0.44179,0.449,4.4179,4.49,30.9451,30.82,10,10,81.29718,81.765,1.0476,1.03,3,3,0.0724,0
bottom_agent,"(20, 20)",100,1.495,1,0.11,0,1.385,1,1.7662,1.774,17.662,17.74,30.237,30.22,10,10,88.85682,89.918,1.0035,1,3.005,3,0.0009,0
bottom_agent,"(20, 20)",150,4.335,3,0.145,0,4.19,3,4.09176,4.073,40.9176,40.73,30.103,30.1,10,10,89.68892,89.793,0.9976,1,3,3,0.0012,0
bottom_agent,"(20, 20)",200,6.895,4,0.14,0,6.755,4,7.5288,7.558,75.288,75.58,30.069,30.06,10,10,90.90327,89.762,1.0073,1,3,3,0.0156,0
